Dgdppc,year
,1950
.605106,1951
.23695874,1952
.39803845,1953
-.29165331,1954
.72742677,1955
.058183257,1956
.043890104,1957
-.31592929,1958
.72673833,1959
.13667056,1960
.12315121,1961
.63703686,1962
.41830277,1963
.66730464,1964
.85490447,1965
.8924439,1966
.2581653,1967
.69007719,1968
.4105148,1969
-.20808338,1970
.45532873,1971
.86276162,1972
.97914135,1973
-.56661999,1974
-.29311705,1975
.99456137,1976
.75655591,1977
1.0405713,1978
.41975033,1979
-.62988442,1980
.43131167,1981
-.670847,1982
.9431054,1983
1.6653216,1984
.83541393,1985
.59540486,1986
.56462371,1987
.84420818,1988
.72503477,1989
.14652689,1990
-.31914806,1991
.75848162,1992
.60582906,1993
.9906615,1994
.50888097,1995
.91118121,1996
1.1903508,1997
1.2783693,1998
1.2408123,1999
1,2000
-.0068935486,2001
.30395165,2002
.68009871,2003
1.1222333,2004
.87964976,2005
.68015462,2006
.28469208,2007
-1.0224254,2008
-1.2629699,2009
.59707606,2010
.24668194,2011
.6660704,2012
.44618589,2013
.76991493,2014
