hours_weekly,year
38.7,1965
38.6,1966
38.3,1967
37.6,1968
37.7,1969
37.3,1970
36.8,1971
36.9,1972
36.8,1973
36.6,1974
36.1,1975
36.3,1976
35.6,1977
35.3,1978
35.6,1979
35.4,1980
35.4,1981
34.1,1982
34.8,1983
35.1,1984
34.9,1985
35,1986
34.7,1987
34.6,1988
34.7,1989
34.5,1990
34.1,1991
34.1,1992
34.3,1993
34.4,1994
34.5,1995
33.8,1996
34.3,1997
34.6,1998
34.4,1999
34.4,2000
34.2,2001
33.8,2002
33.8,2003
33.7,2004
33.7,2005
33.9,2006
33.8,2007
33.7,2008
33.3,2009
33.3,2010
33.4,2011
33.8,2012
33.6,2013
33.5,2014
33.7,2015
33.8,2016
