share_high_4,year,share_high_13,share_coll_4plus,share_coll_13,share_elem_all
.1431129,1940,.1516438,.046207886,.055267725,.60376769
.20822005,1947,.16591421,.054423109,.068065792,.50337684
.20827623,1950,.17508389,.056399774,.073805362,.48643476
.24108818,1952,.17420949,.069990389,.076808676,.43790329
.26468551,1957,.18068154,.076446697,.074453458,.40373281
.27406526,1959,.18313526,.080842927,.082452677,.37950391
.24571951,1960,.19243337,.07658124,.087932199,.39733368
.2828916,1962,.1763391,.089426212,.091095127,.36024797
.30001074,1964,.17983265,.091239274,.088700779,.34021655
.30706275,1965,.18031691,.094357163,.088516749,.32974643
.31181172,1966,.18154602,.098305739,.088900656,.31943589
.31634006,1967,.17784771,.10060554,.094540603,.31066608
.32500869,1968,.17588827,.10492059,.096317306,.29786515
.33533484,1969,.17194113,.10706066,.098058507,.28760487
.33971584,1970,.17091914,.11035687,.10212334,.27688479
.34375253,1971,.16816567,.11399361,.1065001,.26758808
.35248226,1972,.16964969,.12026564,.10902645,.24857597
.35838073,1973,.16320238,.12606099,.11369234,.23866355
.36050293,1974,.15889606,.13305393,.11881119,.22873589
.36230806,1975,.15602036,.13896231,.12419693,.21851234
.36314759,1976,.15318014,.14719766,.13024309,.20623153
.36074296,1977,.15155953,.15409945,.13440888,.1991892
.36074781,1978,.14772607,.15713066,.1412721,.19312334
.36644426,1979,.1403317,.16423509,.14678043,.18220854
.36757231,1980,.1386812,.17018259,.14860399,.17495993
.37561989,1981,.13573939,.17062618,.15075967,.16725489
.37947419,1982,.13285914,.17746279,.15267068,.15753318
.3772144,1983,.12810016,.18775947,.15597354,.15095241
.38407558,1984,.12381561,.19080901,.15827118,.14302862
.38226891,1985,.12230181,.19375427,.16307604,.13859896
.38428169,1986,.1192516,.19433038,.16867658,.13345975
.38666397,1987,.11677897,.19871937,.17083375,.12700392
.3887068,1988,.11768042,.20303896,.17013672,.12043712
.38492277,1989,.11495073,.21124467,.17264017,.11624165
.38405862,1990,.111559,.21266034,.17935172,.11237032
.38610885,1991,.10948951,.21441039,.18382265,.10616859
.35975203,1992,.10987795,.21349475,.22086886,.096006423
.35367996,1993,.10482841,.2185742,.23000345,.092914
.3435249,1994,.10288423,.22214387,.24321795,.08822903
.33917746,1995,.099516325,.22966924,.24782647,.083810493
.33601263,1996,.1016058,.23567224,.24577756,.080931753
.33761901,1997,.1009099,.23859106,.24490526,.077974766
.33780849,1998,.09742175,.24371988,.24684396,.074205913
.33343118,1999,.094639547,.25209779,.24848925,.071342245
.33148244,2000,.089453347,.25593075,.25363094,.06950254
.323037,2001,.09024436,.26181343,.25656363,.068341576
.32093817,2002,.08991386,.26735881,.25277668,.069012471
.32017538,2003,.088149212,.27206701,.25330749,.066300906
.32005885,2004,.085608028,.27691773,.25456053,.062854849
.32156247,2005,.085009977,.27661249,.25388402,.062931046
.31736907,2006,.084200598,.27995643,.25728685,.061187051
.31644195,2007,.084664471,.28737649,.25341189,.058105186
.31167826,2008,.079040267,.29437354,.25977433,.055133592
.31079665,2009,.078604423,.29540458,.26058581,.054608542
.31239557,2010,.076323241,.29931074,.2596961,.052274343
.30718505,2011,.073249876,.3043668,.2642116,.05098664
.30361524,2012,.073282562,.30936855,.26346919,.050264448
.29823104,2013,.070546158,.31660706,.26666504,.0479507
.2973921,2014,.069498196,.31955793,.266186,.047365807
.29498282,2015,.069226094,.32500672,.26413396,.046650417
.28836191,2016,.064929448,.33439526,.26816359,.044149794
.28818458,2017,.063313663,.34160981,.26629171,.040600222
