bea_h,year
100,1950
,1951
102.90239,1952
,1953
,1954
,1955
,1956
102.40379,1957
,1958
102.82078,1959
100.76419,1960
,1961
101.91191,1962
,1963
104.93367,1964
107.01475,1965
108.326,1966
107.95371,1967
108.26549,1968
109.98185,1969
110.85426,1970
110.84818,1971
114.71294,1972
117.45254,1973
119.33457,1974
118.78819,1975
122.93317,1976
124.51406,1977
126.55667,1978
129.87576,1979
130.54781,1980
131.09645,1981
130.8154,1982
133.59904,1983
137.55498,1984
139.18199,1985
140.70299,1986
142.70273,1987
143.58499,1988
146.89397,1989
148.03714,1990
146.22093,1991
148.32243,1992
149.869,1993
152.13068,1994
153.58308,1995
153.94824,1996
157.01315,1997
158.02589,1998
159.21925,1999
161.63315,2000
160.49536,2001
159.21033,2002
159.66577,2003
160.36258,2004
159.96831,2005
161.87465,2006
162.59132,2007
162.36832,2008
158.19258,2009
157.10097,2010
157.11398,2011
158.1102,2012
157.39407,2013
156.32135,2014
156.9782,2015
157.8795,2016
