hgrowth,year
,1950
,1951
,1952
,1953
,1954
,1955
,1956
,1957
,1958
,1959
.07615754,1960
,1961
-.09667366,1962
,1963
,1964
,1965
,1966
.52918392,1967
,1968
.67555058,1969
.95890182,1970
,1971
1.1902684,1972
,1973
1.2943313,1974
1.0492197,1975
1.2729912,1976
1.4373935,1977
1.5732856,1978
1.6765283,1979
1.648674,1980
1.6918705,1981
1.3222078,1982
1.2964195,1983
1.4310691,1984
1.5970218,1985
1.3592585,1986
1.3727874,1987
1.2703708,1988
1.2389389,1989
1.2651734,1990
1.0978364,1991
1.2639345,1992
1.1558133,1993
1.0122509,1994
.98945624,1995
.90371162,1996
.96024036,1997
.9629243,1998
.80896652,1999
.88253218,2000
.93581492,2001
.71089125,2002
.63522005,2003
.52836603,2004
.40817109,2005
.50332052,2006
.34971264,2007
.27145183,2008
-.064669542,2009
-.28400141,2010
-.21270837,2011
-.069314852,2012
-.14319757,2013
-.25491002,2014
-.18851015,2015
-.24958973,2016
