q_scale_equip,year,q_scale_struct_nonres,q_scale_struct_res,q_scale_ip
1.4261019,1950,7.8215699,8.8195353,.21529892
1.511081,1951,8.0154924,9.1710215,.22127946
1.5806092,1952,8.2029514,9.5086336,.23503467
1.659408,1953,8.4194994,9.8554955,.25477043
1.7134856,1954,8.6392794,10.239355,.27331004
1.7953744,1955,8.8784504,10.697212,.2936438
1.8772632,1956,9.1661043,11.094948,.31936011
1.9591521,1957,9.4440603,11.451059,.34268415
1.9854184,1958,9.6767683,11.802546,.36481208
2.0333157,1959,9.9191723,12.288152,.38873419
2.0935736,1960,10.193897,12.70901,.41265631
2.1383805,1961,10.468621,13.129869,.44076476
2.212544,1962,10.765971,13.596976,.46767715
2.3006132,1963,11.056855,14.138081,.4981778
2.4195838,1964,11.402684,14.716183,.52688438
2.5926321,1965,11.835779,15.252663,.56336552
2.8120322,1966,12.297963,15.705894,.60762143
2.9943507,1967,12.734291,16.131378,.65307343
3.1843948,1968,13.167387,16.640108,.69912344
3.3960695,1969,13.632802,17.162714,.74397743
3.5675728,1970,14.08529,17.625196,.77687031
3.7189898,1971,14.511921,18.281919,.80139047
3.9167593,1972,14.951479,19.077391,.83129311
4.2025976,1973,15.436287,19.849735,.86239183
4.466805,1974,15.879079,20.372339,.89109832
4.6151323,1975,16.224909,20.774698,.91382432
4.7820001,1976,16.564274,21.343554,.95209974
5.0230308,1977,16.926264,22.106647,.99575752
5.3428617,1978,17.394913,22.920618,1.0453959
5.6905026,1979,17.966986,23.660589,1.1111817
5.9392591,1980,18.590773,24.127695,1.1751733
6.1772003,1981,19.295361,24.502306,1.2541163
6.2992611,1982,19.951466,24.710423,1.3354515
6.4275022,1983,20.442738,25.228403,1.4245613
6.6839838,1984,21.092382,25.889753,1.5393873
6.9311962,1985,21.845449,26.546478,1.6613902
7.1351457,1986,22.427219,27.355822,1.7833928
7.2958331,1987,22.992828,28.165165,1.8952287
7.4920573,1988,23.52935,28.93751,2.0118489
7.7006421,1989,24.052942,29.621984,2.1523914
7.8520594,1990,24.621784,30.195463,2.2989142
7.9339476,1991,25.006399,30.634819,2.4430447
8.0498285,1992,25.284355,31.166674,2.5841851
8.2784996,1993,25.588167,31.846523,2.7127666
8.6060543,1994,25.859661,32.595745,2.8323772
9.0093184,1995,26.23781,33.317219,2.9675369
9.4620247,1996,26.693529,34.149681,3.1451585
9.9811687,1997,27.210659,34.991405,3.3706245
10.596108,1998,27.776268,35.948742,3.6194143
11.29448,1999,28.325716,36.975449,3.9088719
12.034571,2000,28.968895,37.983662,4.209692
12.519724,2001,29.537737,38.96875,4.4303737
12.830283,2002,29.877104,40.046329,4.5930443
13.145478,2003,30.151827,41.271908,4.7563124
13.553377,2004,30.390999,42.608482,4.9321399
14.067887,2005,30.614012,43.889561,5.1390657
14.710636,2006,30.969536,45.142887,5.358551
15.324031,2007,31.483435,45.929104,5.5947824
15.668582,2008,32.049046,46.22047,5.8226399
15.450727,2009,32.320534,46.248219,5.980526
15.52798,2010,32.388409,46.257465,6.1402059
15.846265,2011,32.488602,46.289841,6.3262
16.348413,2012,32.692223,46.400837,6.5301366
16.883009,2013,32.937859,46.729198,6.7412491
17.507217,2014,33.312775,47.089935,6.9720974
18.140699,2015,33.645676,47.594044,7.2023473
18.628941,2016,33.913937,48.167519,7.4786477
