capital_share_costs,year
.34962782,1948
.34524661,1949
.35798776,1950
.35861433,1951
.34489247,1952
.33081457,1953
.33170444,1954
.35052314,1955
.33703381,1956
.33479929,1957
.33556643,1958
.34366682,1959
.33435792,1960
.33665311,1961
.3418363,1962
.34851262,1963
.34706739,1964
.35493836,1965
.34912094,1966
.34292132,1967
.34037611,1968
.32875827,1969
.31671146,1970
.32709849,1971
.33234119,1972
.33109525,1973
.3205418,1974
.34168154,1975
.34115312,1976
.34290531,1977
.33799326,1978
.3282482,1979
.32218453,1980
.33617908,1981
.33722749,1982
.34107119,1983
.3519825,1984
.34684369,1985
.33488294,1986
.34189004,1987
.33546349,1988
.34387961,1989
.33696792,1990
.336335,1991
.3336865,1992
.33861554,1993
.3444272,1994
.34724465,1995
.3468655,1996
.34455287,1997
.333307,1998
.335356,1999
.32630086,2000
.32551304,2001
.33570379,2002
.34903988,2003
.3550621,2004
.36961091,2005
.36791489,2006
.36883837,2007
.37133914,2008
.3757343,2009
.39036292,2010
.38968006,2011
.38812548,2012
.39494434,2013
.39403617,2014
.38592336,2015
.38497609,2016
