value,time
58.584549,1950
59.604881,1951
60.872971,1952
62.41634,1953
64.085167,1954
65.627327,1955
67.259506,1956
69.047211,1957
70.680023,1958
72.218727,1959
73.582748,1960
74.83812,1961
75.710838,1962
75.878906,1963
76.293343,1964
76.602928,1965
76.772423,1966
75.029617,1967
73.77713,1968
72.669144,1969
71.76445,1970
70.747932,1971
69.34494,1972
67.730614,1973
65.984558,1974
64.308388,1975
62.504822,1976
60.664169,1977
58.934189,1978
57.337952,1979
56.074059,1980
54.616348,1981
53.36832,1982
52.263901,1983
51.19746,1984
50.458118,1985
49.970821,1986
49.651699,1987
49.46542,1988
49.284069,1989
49.104691,1990
48.781368,1991
48.73769,1992
48.915909,1993
49.104858,1994
49.17495,1995
49.245369,1996
49.126789,1997
48.988831,1998
48.744709,1999
48.388031,2000
47.938332,2001
47.48938,2002
47.116348,2003
46.757481,2004
46.36692,2005
46.019218,2006
45.804951,2007
45.61972,2008
45.293579,2009
44.799881,2010
44.178242,2011
43.781239,2012
43.43322,2013
43.120731,2014
43.472061,2015
43.46294,2016
43.494961,2017
43.55912,2018
43.64814,2019
43.71299,2020
43.8218,2021
44.025909,2022
44.21471,2023
44.373779,2024
44.557831,2025
44.710629,2026
44.812271,2027
44.91592,2028
45.101398,2029
45.25721,2030
