res_per1000_employ,year,res_fte
,1980,
5.2702765,1981,100
5.5402865,1982,103.85714
5.7690167,1983,109.22
5.8438578,1984,115.55644
5.6268926,1985,113.83165
5.9287019,1986,121.97401
6.0662646,1987,128.31677
6.0273204,1988,131.15666
6.0860052,1989,135.45248
6.1477957,1990,138.49654
6.2870426,1991,140.23219
6.4464588,1992,143.86926
6.4551992,1993,146.83977
6.2585416,1994,145.54607
6.3028426,1995,149.71455
6.5586982,1996,158.40453
6.7190514,1997,165.62535
6.9902081,1998,176.26227
7.0651655,1999,181.42278
7.0649133,2000,185.09358
7.2789168,2001,190.76466
7.545207,2002,197.1541
8.0405827,2003,212.03099
7.8066096,2004,208.04338
7.647624,2005,207.2774
7.7055392,2006,212.76065
7.6441073,2007,213.39122
8.0664654,2008,224.19167
8.801403,2009,235.57158
8.4787502,2010,225.66359
8.8139124,2011,235.88979
8.7334309,2012,237.97908
8.9329433,2013,245.82198
9.1029282,2014,254.48892
9.1389217,2015,259.77368
