profit_share,year,k_share
.22081076,1947,.070985988
.26476666,1948,.051801711
.28130797,1949,.033791814
.32275125,1950,.0074681365
.3194786,1951,.0064343442
.28773797,1952,.019984197
.26574031,1953,.031722929
.25949618,1954,.040702838
.27889341,1955,.042857878
.24942455,1956,.058449529
.21745677,1957,.08546178
.20012674,1958,.098199286
.20209421,1959,.10949866
.17006603,1960,.12896165
.16906255,1961,.13200361
.16938779,1962,.13817403
.17759427,1963,.13556889
.17404029,1964,.14335671
.18306854,1965,.14364061
.17279002,1966,.15019551
.14703068,1967,.16726533
.12287144,1968,.18886884
.10074028,1969,.1973553
.043655291,1970,.23941885
.072412565,1971,.222625
.090637431,1972,.20599486
.1001887,1973,.19471011
.075891301,1974,.21220483
.072789684,1975,.23733
.098001108,1976,.21639849
.12998793,1977,.18860343
.1344149,1978,.18409832
.11287698,1979,.19406286
.066017523,1980,.23369782
.052110314,1981,.2623117
-.014737904,1982,.32811481
.064689934,1983,.25709742
.068077803,1984,.26150477
.055721104,1985,.26879418
.065281704,1986,.24175708
.096056283,1987,.20974618
.059054196,1988,.24818707
.052451521,1989,.2532405
.046408892,1990,.25137377
.029589087,1991,.26878807
.039775342,1992,.25166216
.045218706,1993,.25099647
.080992237,1994,.22794978
.05064097,1995,.26749375
.098397747,1996,.22581176
.091406003,1997,.23628668
.099366859,1998,.21696781
.099682242,1999,.21142229
.05036816,2000,.25057945
.047606826,2001,.25221735
.067039907,2002,.24753958
.084797204,2003,.24073702
.11332496,2004,.22195898
.137575,2005,.21449259
.15514766,2006,.20831384
.13298522,2007,.21483077
.10735521,2008,.22587314
.11941749,2009,.23604268
.13370104,2010,.24344383
.13143748,2011,.24546516
.17115597,2012,.2147515
.1648872,2013,.21882854
.15734957,2014,.23082311
.1854012,2015,.19804859
.16566825,2016,.21215427
