NFCB_q_q,NFCB_q_simple,year
,,1950
,,1951
.48354429,.66112179,1952
.41513517,.5873571,1953
.4432514,.60481906,1954
.57903415,.74711961,1955
.73204231,.884633,1956
.64667213,.78441381,1957
.63698643,.75888056,1958
.79985344,.91797167,1959
.7549904,.87474704,1960
.90481114,1.0051734,1961
.88827437,.99071401,1962
.88245916,.98046857,1963
.92630786,1.0214366,1964
.9964034,1.0784621,1965
.98993945,1.0687525,1966
.93999314,1.0033313,1967
.91676527,.97261268,1968
1.0549814,1.1037186,1969
.81971961,.85410541,1970
.89359212,.91863698,1971
.93822229,.97020882,1972
.93526685,.98821735,1973
.66405815,.71721894,1974
.55884773,.5635435,1975
.67524534,.67841005,1976
.61231917,.61404884,1977
.50562912,.50018746,1978
.52690232,.52207631,1979
.49859104,.484294,1980
.61647707,.61610079,1981
.48477691,.44889131,1982
.63203508,.59552771,1983
.57166928,.54783696,1984
.56833327,.5447973,1985
.6885162,.64940107,1986
.81511873,.78165483,1987
.6948148,.65468353,1988
.7127797,.67845249,1989
.76547402,.71231133,1990
.81969583,.76492059,1991
.92541057,.85105675,1992
1.0003595,.93247008,1993
.96193707,.91725641,1994
.9834469,.96482503,1995
1.1667429,1.1784954,1996
1.1643738,1.1972677,1997
1.5657161,1.625603,1998
1.657564,1.7463354,1999
2.0925195,2.2287872,2000
1.3019912,1.4800348,2001
1.3036226,1.4706161,2002
.89158827,1.0616773,2003
1.195979,1.4005878,2004
1.2203958,1.4594731,2005
1.2961189,1.5595028,2006
1.3181438,1.5841035,2007
1.1835591,1.4257748,2008
.73106098,.88007319,2009
1.0300685,1.2442677,2010
1.1485733,1.3912157,2011
1.1601342,1.3885027,2012
1.2684951,1.4863542,2013
1.4599495,1.6948823,2014
1.5399078,1.7571031,2015
1.3765054,1.6033406,2016
