scale_sherman1,scale_sherman2,scale_clayton7,year
100,100,100,1970
168.53448,179.16667,76.878616,1971
122.84483,83.333336,84.9711,1972
132.32759,112.5,100.57803,1973
87.068962,91.666664,61.849712,1974
118.10345,58.333332,44.508671,1975
113.36207,62.5,48.554913,1976
142.24138,104.16666,63.583817,1977
69.827583,87.5,55.491329,1978
96.982758,83.333336,87.861275,1979
94.396553,270.83334,34.104046,1980
69.827583,33.333332,39.306358,1981
59.913792,50,49.13295,1982
58.620689,41.666668,45.664742,1983
58.189655,20.833334,60.693642,1984
56.034481,20.833334,61.849712,1985
72.844826,50,69.364159,1986
53.879311,16.666666,76.300575,1987
49.568966,12.5,50.86705,1988
40.086208,29.166666,62.427746,1989
30.603449,16.666666,53.757225,1990
33.189655,20.833334,53.179192,1991
36.206898,12.5,48.554913,1992
47.413792,29.166666,58.959538,1993
58.620689,91.666664,58.959538,1994
42.241379,66.666664,77.45665,1995
55.172413,79.166664,164.16185,1996
40.948277,62.5,195.37572,1997
46.982758,45.833332,164.73988,1998
31.465517,25,166.47398,1999
31.465517,16.666666,102.31214,2000
28.879311,12.5,84.9711,2001
32.327587,33.333332,58.381504,2002
48.275864,16.666666,53.757225,2003
26.293104,16.666666,53.179192,2004
43.103447,12.5,62.427746,2005
37.5,12.5,55.491329,2006
29.741379,4.1666665,58.381504,2007
28.448277,0,48.554913,2008
30.172413,16.666666,39.306358,2009
19.827587,8.333333,36.994221,2010
20.258621,8.333333,52.023121,2011
13.362069,8.333333,42.774567,2012
10.775862,8.333333,37.572254,2013
13.362069,0,46.242775,2014
16.810345,12.5,38.728325,2015
