estabs_entry_rate,year,estabs_exit_rate
17.1,1977,12.9
15,1978,13.1
14.9,1979,11
13.2,1980,12
13.2,1981,14
15.4,1982,11.5
12.6,1983,11.4
14.3,1984,10.9
14,1985,11
14.4,1986,11.3
15.4,1987,11.9
13.5,1988,11.8
12.9,1989,11.9
13.2,1990,10.2
12.7,1991,10.7
12.5,1992,11
11.5,1993,10.3
12.1,1994,10.1
12.3,1995,10
12.1,1996,10.3
12.9,1997,11.1
12,1998,10.6
11.6,1999,10.5
11.4,2000,10.7
11.5,2001,10.9
12.7,2002,11.9
12.1,2003,9.3999996
11.8,2004,9.5
12.2,2005,9.3000002
12.3,2006,9.8999996
12,2007,10.2
10.5,2008,9.8000002
9.1000004,2009,10.8
9.3000002,2010,9.6999998
9.6999998,2011,9.3999996
10.2,2012,9.1999998
9.5,2013,8.8000002
10,2014,8.6000004
