emp,year
66.091812,1977
69.67035199999999,1978
74.016678,1979
74.74992399999999,1980
73.539034,1981
74.482223,1982
72.716864,1983
77.386763,1984
80.896889,1985
83.467838,1986
85.65197499999999,1987
87.414682,1988
90.415808,1989
92.553399,1990
91.404878,1991
91.685317,1992
93.249402,1993
94.94511300000001,1994
98.485465,1995
100.344549,1996
103.184738,1997
106.272896,1998
109.063778,1999
112.607042,2000
114.009996,2001
111.827414,2002
112.409111,2003
113.707629,2004
115.140082,2005
118.6148,2006
119.62702,2007
119.780684,2008
113.333976,2009
110.792625,2010
112.121687,2011
114.761136,2012
117.194375,2013
119.10291,2014
