gdppw2015,pop2015,label
1.9547046,.703825,
1.4890614,.154925,
2.1882298,.880167,
1.9791442,.904587,
1.6251076,.154872,
1.8850147,.829835,
1.6859031,.125955,
1.9663403,.259885,
1.8017961,.231497,
1.5283225,.442316,
2.3660307,5.614323,
1.901656,.275209,
1.314752,.154255,
1.7193438,.583632,
2.4363089,1.943299,
1.8534712,.8745889999999999,
2.3723283,2.785874,
2.2200532,.825478,
1.7553906,.134878,
1.1915439,.106179,
2.5214353,.405427,
2.2427108,.166885,
1.6527236,.247219,
2.2387667,1.143772,
2.3197861,.126597,
1.7621518,.085763,
1.8449175,.664422,
2.6236479,.313333,
1.7508739,.254183,
1.1797696,.420392,
1.9608673,1.13636,
1.2615122,.155792,
1.6777446,.403923,
1.550253,.679513,
3.0220048,.081624,
2.4198649,.263885,
1.916768,.237252,
2.5479393,.222878,
1.9817154,.727689,
2.3963265,2.380314,
2.1121881,.226968,
1.8985763,.544559,
2.5069025,9.554598,
1.4179881,.224241,
2.2946939,2.149449,
1.5795101,.242905,
1.8467388,.686908,
1.6710013,.172717,
1.913487,.800495,
2.1091344,.314005,
2.3386631,1.994536,
2.1575196,.448108,
2.0146394,.086316,
2.7737482,6.95433,
1.4910322,.200111,
1.9276289,.38303,
1.4474057,.153084,
2.360219,.10835,
2.6039588,2.69212,
2.7514338,.611549,
2.383997,4.296611,
1.781757,.171987,
1.9063561,.09637,
1.7098185,.280218,
3.0493753,.54271,
2.6991808,.201971,
1.7320213,.08777,
1.5662113,.8366980000000001,
2.3066809,.063091,
1.6076277,.278443,
1.6655998,.358337,
2.0636544,.315162,
2.1966727,.228291,
2.2733767,.377939,
1.9794434,.501653,
1.4771314,.137682,
1.4263537,.412895,
1.6515166,.20703,
1.6471068,.324122,
1.6509222,.279592,
1.6618327,.965974,
1.263746,.103531,
1.7036922,.273377,
1.5369813,.127345,
1.5740924,.124456,
1.4331115,.148255,
1.7102511,.082344,
1.5188043,.27767,
2.0564618,.314531,
1.7002729,.175354,
1.922991,.386144,
1.4150881,.26007,
2.3328812,.560849,
1.5136853,.362896,
3.0484266,6.49018,
1.9371492,.363325,
2.2847178,.441086,
2.481652,1.971274,
1.9399314,.164357,
2.0898378,.577564,
1.8573039,.130225,
1.8184004,1.419127,
1.4063245,.161188,
1.4687017,.201091,
1.3236771,.137732,
1.5994778,.176141,
1.3565748,.111375,
2.1946697,2.071133,
1.8470902,.274295,
1.9495875,.424858,
1.8530136,.857585,
2.503371,.082982,
1.7510214,.136749,
2.6630139,.203883,
1,.203361,
1.3359061,.634638,
1.9368056,.53332,
1.6664438,.470458,
1.2646649,.116585,
2.1557119,.494189,
2.0936828,.10504,
2.0143676,.318945,
2.1161103,.729135,
2.0850098,.217481,
2.2329397,1.269702,
1.6339387,.305644,
1.4656969,.257835,
1.7690685,.23045,
2.350626,.633787,
1.1256267,.831073,
1.5197923,.210287,
2.1682799,1.34323,
1.3512671,.266353,
2.0176599,5.929819,
2.3529708,1.572245,
2.4200408,3.495176,
1.5162634,.5319970000000001,
1.6896193,.178864,
1.9258974,.373141,
1.6926258,.417668,
2.6386263,.141667,
1.9992714,.348777,
2.4613459,1.792649,
2.4089243,1.251849,
3.0493526,20.092883,New York
1.7607616,.155233,
1.4875238,.632293,
2.1849248,1.336767,
1.6728067,.265851,
2.4126043,.904421,
1.9424241,2.321418,
2.2071323,.846178,
1.509379,.556885,
2.0052998,.092082,
1.5248286,.474081,
2.0630548,.38004,
2.6658292,6.05117,
1.9881198,4.489109,
1.5636873,.094716,
2.2667608,2.355968,
1.1914099,.083347,
2.6174786,2.348247,
1.2356244,.44442,
1.5481163,.57146,
1.5126401,.195163,
1.6913186,.143638,
1.7471434,.413691,
1.5248972,.179804,
2.0886438,.44399,
2.2399209,1.260029,
1.4109373,4.44189,
1.8424193,.313388,
1.6688774,.342411,
1.8188214,.14929,
2.1117549,2.244397,
1.6329745,.192418,
1.5470229,.127431,
2.0478432,2.806207,
1.5656543,.404026,
1.9097391,.431344,
2.0958388,2.328652,
2.6406565,3.263431,
3.3447022,4.59406,San Fran/Oakland
4.6398387,1.952872,San Jose
1.8746165,.279083,
1.7088174,.271804,
1.9830103,.500292,
1.8524998,.372708,
3.1027689,3.671478,Seattle
1.3747876,.123534,
1.8911546,.168806,
2.3188412,.248351,
1.6772987,.319226,
1.8184806,.540953,
1.5017742,.452297,
1.2759839,.136554,
2.2265475,.158742,
1.5226507,.715597,
1.599775,.107919,
1.8181096,2.915582,
1.562103,.17148,
1.5296623,.149235,
2.0322826,.607456,
1.6056798,.233758,
2.8867602,.371537,
1.5228118,1.004516,
2.714035,.969224,
3.0223312,.218842,
1.5432451,.296615,
1.6052607,.157389,
2.1298041,1.716624,
1.4357876,.458198,
2.938134,6.033737,
1.9196749,.169993,
1.9838051,.13578,
1.5088241,.121336,
2.1684544,.145205,
2.0173702,.641076,
2.0974038,.151536,
1.8681134,.272548,
1.503475,.440755,
1.549083,.5532629999999999,
1.4465784,.169813,
1.2780764,.203247,
