profit_share,year
-.16905852,1986
.033424214,1987
-.15967992,1988
-.27721071,1989
-.20407355,1990
-.25191867,1991
-.09522967,1992
-.067856275,1993
.10978529,1994
-.17208232,1995
.13926645,1996
.0085427267,1997
.097210914,1998
.13305977,1999
-.073640279,2000
.10232712,2001
.079808265,2002
.27504894,2003
.31439522,2004
.39912632,2005
.34567147,2006
.25498173,2007
.11640911,2008
.11932832,2009
-.011138011,2010
.0052352645,2011
.14768603,2012
.26663634,2013
.14467338,2014
.33499187,2015
.34575284,2016
