growth,alec_rank,state
-3.1450922,29,AK
.80269176,21,AL
1.8300484,11,AR
.28279275,9,AZ
2.8193648,38,CA
2.2625647,8,CO
-.16200054,44,CT
.033172093,34,DE
1.8275678,13,FL
2.36378,10,GA
.85122395,46,HI
1.8465424,22,IA
1.687452,6,ID
.95746958,48,IL
.85307342,24,IN
1.2326282,26,KS
1.4809113,39,KY
-.97535133,19,LA
.84504133,25,MA
.93897027,20,MD
1.599962,47,ME
1.1470389,17,MI
1.4266778,41,MN
.33272955,7,MO
1.4949342,15,MS
.92122167,36,MT
1.0510225,23,NC
-.86142778,5,ND
2.6091397,31,NE
1.6591611,28,NH
1.1075566,42,NJ
.81308734,35,NM
1.2138497,18,NV
.66367388,50,NY
1.5146091,37,OH
1.5584558,14,OK
1.3605697,45,OR
1.6868129,40,PA
1.1597761,43,RI
1.3763347,27,SC
.97799343,2,SD
2.4198351,12,TN
1.9114789,16,TX
1.0478356,1,UT
.70675665,3,VA
1.5288879,49,VT
2.4412866,33,WA
1.2763008,32,WI
.86567712,30,WV
.067616157,4,WY
