pre_50,pre_40,pre_101,year,pre_1
,,.23040079,1960,.12591518
,,.23379081,1961,.12453469
.19504523,.44403329,.2351824,1962,.12573907
.1910207,.44360852,.23790678,1963,.12746224
.18699616,.44318375,.24062471,1964,.12919538
.19129837,.44235367,.23855808,1965,.12778437
.19560057,.44152358,.23649427,1966,.12638158
.2044355,.43963593,.23256129,1967,.12336728
.20690548,.44125178,.2301282,1968,.12171453
.21019495,.44660899,.22821783,1969,.11497824
.20839185,.45071691,.23046306,1970,.11042818
.20415765,.45217288,.23284815,1971,.11082132
.20238984,.45101738,.23574564,1972,.11084715
.20379539,.44956774,.23743373,1973,.10920314
.20498855,.45203799,.23644343,1974,.10653002
.20269921,.45378688,.23795803,1975,.10555588
.20211717,.45368662,.23890314,1976,.10529309
.20028216,.45324138,.23982306,1977,.10665341
.19975558,.45316094,.23938939,1978,.1076941
.200782,.45033875,.23734468,1979,.11153457
.19892722,.45864689,.2357251,1980,.10670077
.19509441,.45771164,.23670736,1981,.11048659
.18957162,.46145424,.23633473,1982,.11263941
.18307823,.46271878,.2390649,1983,.11513808
.17883283,.45452899,.24165392,1984,.12498427
.17881197,.45461437,.24103408,1985,.12553959
.17667049,.45859849,.24263993,1986,.12209108
.17262822,.45125642,.24305011,1987,.13306524
.1694448,.4410736,.24071822,1988,.14876339
.16931194,.44398654,.2420591,1989,.14464243
.16803819,.44482106,.24172026,1990,.14542049
.16619128,.4482463,.24664769,1991,.13891473
.15830767,.44392475,.24762532,1992,.15014225
.1589461,.44548815,.2491464,1993,.14641935
.15776265,.44365591,.25172749,1994,.14685395
.15379763,.43962365,.25373235,1995,.15284637
.1507979,.43374184,.25581995,1996,.15964031
.1486299,.42869958,.25639519,1997,.16627532
.14906055,.42462054,.257081,1998,.16923791
.14768904,.41882998,.25640574,1999,.17707524
.14615023,.41501731,.25616229,2000,.18267018
.14948297,.42251256,.25531048,2001,.17269401
.14821607,.42455491,.25666025,2002,.17056876
.1451382,.42619357,.25663567,2003,.17203258
.14188343,.41909209,.2558175,2004,.18320698
.13831955,.41104165,.25689957,2005,.19373924
.13535595,.40435737,.25929916,2006,.20098753
.13738418,.40469322,.25928384,2007,.19863877
.13710874,.40980312,.25787115,2008,.19521697
.1358971,.42071524,.25798905,2009,.18539862
.13031775,.41217801,.25952399,2010,.19798024
.12730598,.4134571,.26323181,2011,.19600512
.12380165,.40475208,.26364797,2012,.20779829
.12765914,.40913662,.26724726,2013,.19595699
.12545061,.40441522,.2681753,2014,.20195885
