pre_1_add4,pre_1_add3,year,pre_1_add2,pre_1_add1,pre_1_cap_equity,pre_1_zero
.12591518,.089344189,1960,.082741395,.070632033,.058340281,0
.1245347,.087881818,1961,.081427515,.069474854,.057822499,0
.1257409,.09026964,1962,.083691858,.072153583,.061510272,0
.12746225,.091815509,1963,.085469313,.074017741,.064287975,0
.12918359,.093416922,1964,.08724279,.075876825,.067055784,0
.12778439,.092059195,1965,.086100593,.074765071,.065819748,0
.12638515,.090594597,1966,.084959023,.073654786,.064586252,0
.12336102,.086579628,1967,.0809545,.069315389,.060294248,0
.12169713,.084287733,1968,.07864701,.066875108,.057643317,0
.11496635,.077926442,1969,.072546072,.060972493,.051470872,0
.11042432,.073403649,1970,.067956328,.056068636,.045787126,0
.11080961,.073529631,1971,.068289638,.056204133,.045976028,0
.11083241,.072756328,1972,.067608148,.055441406,.045644179,0
.10918774,.069759279,1973,.064898267,.051824246,.041084383,0
.10652242,.065534547,1974,.060757782,.04688457,.034829739,0
.10555043,.064383745,1975,.059685953,.045703426,.034023982,0
.1052821,.064774245,1976,.060201176,.046262339,.035470076,0
.10662784,.065727964,1977,.061078832,.047061667,.036512379,0
.10766418,.065086178,1978,.060700357,.046528962,.035592914,0
.11153707,.066222787,1979,.061874945,.047159262,.035128012,0
.10669376,.059847776,1980,.055199616,.041714076,.028762527,0
.11047999,.063167959,1981,.057631403,.044482924,.030199148,0
.11263265,.062656321,1982,.056204006,.043998819,.028263152,0
.11514033,.063716911,1983,.056670472,.045124996,.03022447,0
.12498408,.068519481,1984,.060980581,.047994338,.031399138,0
.1255395,.068156295,1985,.059363168,.046836227,.028417559,0
.12209329,.062311612,1986,.052600615,.040750884,.022537816,0
.13306481,.067507826,1987,.056419514,.044682764,.021594634,0
.14876339,.074123383,1988,.063294642,.05060146,.027036559,0
.14464244,.073399849,1989,.061928608,.049330074,.023654865,0
.14542049,.071573056,1990,.060039148,.047434289,.023162765,0
.13891616,.070311084,1991,.058652032,.047014706,.024469992,0
.15014398,.072802946,1992,.059745956,.047649987,.027371176,0
.1464217,.073317654,1993,.059891243,.047947098,.028007297,0
.14685401,.076915056,1994,.063803859,.051896878,.032128353,0
.15284956,.079998881,1995,.066023432,.054263897,.034457836,0
.15964097,.082648672,1996,.068343692,.055591978,.037176818,0
.16627087,.083874047,1997,.06860397,.05558826,.037090164,0
.16923966,.08117757,1998,.065486997,.052112699,.033657882,0
.17707525,.081496507,1999,.065192789,.051590942,.033453152,0
.18266991,.079591915,2000,.064181864,.049855977,.030338926,0
.17269401,.077819265,2001,.064018428,.048580244,.03000113,0
.17056882,.083732113,2002,.069841668,.054617472,.036125418,0
.17203324,.086505838,2003,.072819293,.05748038,.038129527,0
.18320754,.093019038,2004,.078489184,.062775157,.042513222,0
.19374177,.099939257,2005,.08514744,.068224162,.042743437,0
.20098723,.10472267,2006,.089295782,.071516149,.044991162,0
.19862834,.10050311,2007,.085643604,.069211572,.041137837,0
.19522469,.098305352,2008,.083973035,.06717702,.039895523,0
.18540373,.10067991,2009,.086064331,.071170636,.045678712,0
.19798407,.11092672,2010,.094806626,.08006449,.054868296,0
.19600511,.10886326,2011,.091933168,.076733574,.052203838,0
.20779829,.11477153,2012,.096845746,.08031249,.054269671,0
.19595699,.10647468,2013,.089173064,.07280378,.046574254,0
.20195885,.11031337,2014,.09201014,.075467616,.050102647,0
