total,imports,year,low
100,3.282131739683908,1950,0
106.0901,3.353551183521067,1951,0
108.70657,3.586709136920542,1952,0
112.10696,3.859634113059633,1953,0
109.35385,3.605475549806657,1954,0
115.28426,3.969413019253758,1955,0
115.91266,4.216468290420145,1956,0
116.33035,4.315235022417458,1957,0
113.80056,4.445793600248067,1958,0
119.80053,4.830733933076304,1959,0
120.3567,4.796431683305284,1960,0
121.28627,4.686959294806294,1961,0
126.99393,5.139184194561927,1962,0
130.54333,5.202193067899799,1963,0
136.15154,5.403616049756523,1964,0
143.41403,5.904305093775402,1965,0
151.6049,6.70405301896645,1966,0
154.37666,7.114601125198505,1967,0
161.06068,8.093694899671588,1968,0
164.66864,8.470849557306344,1969,0
163.42387,8.730865810379013,1970,0
166.86658,9.081593284808909,1971,0
174.31299,9.996126537111104,1972,0
182.30385,10.36054502423365,1973,0
179.48074,10.03310528915245,1974,0
176.30063,8.831997738454154,1975,0
185.24556,10.45702880455308,1976,0
192.52641,11.48418430698235,1977,0
201.40359,12.34835539738835,1978,0
205.31039,12.41554651620999,1979,0
201.64185,11.45581896919576,1980,0
204.71597,11.63837828473057,1981,0
199.17316,11.38087641831573,1982,0
207.32927,12.70136281318368,1983,0
222.54831,15.65557627444917,1984,0
230.13492,16.52392357756639,1985,0
236.77966,17.77108873701148,1986,0
243.22964,18.6597227279611,1987,0
251.05006,19.21717643841487,1988,0
257.96231,19.87481024503435,1989,0
260.22449,20.35584711387411,1990,0
256.50076,20.05690655968658,1991,0
262.72037,21.17949151487244,1992,0
267.69995,22.7137598903508,1993,0
276.90381,25.11695314709886,1994,0
282.31476,26.80772183390753,1995,0
290.87433,28.80133987695515,1996,0
302.76654,32.29172540687896,1997,0
314.97415,35.64882959385384,1998,0
328.50327,39.22576248300499,1999,0
341.74146,43.79865408665599,2000,0
340.08383,42.14911229509637,2001,0
343.51788,43.26782190774479,2002,0
350.9808,44.97838877224957,2003,0
364.42715,49.65502269031708,2004,0
375.23318,52.40875376083163,2005,0
384.25742,55.35552596597005,2006,0
388.07321,56.19693748111091,2007,0
382.75662,54.43192049563267,2008,0
364.08197,46.89502183093809,2009,0
375.25079,52.61391200485473,2010,0
380.39044,55.1687361801453,2011,0
386.38196,56.25176268449085,2012,0
390.56839,56.71869200159674,2013,0
398.66879,59.15863199675867,2014,0
408.64191,61.92701245287753,2015,0
412.24207,62.64476040014999,2016,0
