P_commod_wage_index,year,P_fuel_wage_index
854.53998,1913,
811.45398,1914,
832.99701,1915,
897.6261,1916,
965.72186,1917,
841.7738,1918,
734.80084,1919,
728.73938,1920,
532.59149,1921,
567.95245,1922,
532.59149,1923,
478.73389,1924,
502.67062,1925,
478.73389,1926,290.05646
441.90823,1927,251.33533
436.3844,1928,240.28761
430.86057,1929,237.52571
392.92313,1930,219.495
360.4585,1931,197.12573
379.79559,1932,232.98386
394.95551,1933,225.22255
360.40536,1934,205.94592
353.73117,1935,202.1321
352.52225,1936,206.29079
330.55438,1937,182.37483
311.92508,1938,177.28116
311.92508,1939,168.30489
302.24545,1940,158.62526
293.06277,1941,153.32423
270.54034,1942,135.27017
241.80948,1943,121.6375
228.42448,1944,117.63178
230.33426,1945,117.87694
236.40134,1946,118.20067
250.78294,1947,122.62954
250.57138,1948,133.43436
237.07166,1949,121.97877
231.64545,1950,116.74931
230.46027,1951,108.55013
211.1138,1952,102.02526
201.36436,1953,99.201561
198.29791,1954,96.232811
194.76297,1955,92.477379
193.4883,1956,90.427513
191.70729,1957,91.686096
180.27635,1958,82.326202
178.79247,1959,80.310051
172.45731,1960,78.595291
167.92514,1961,77.333939
161.10896,1962,74.194923
153.77,1963,70.541359
151.57146,1964,67.089005
147.92879,1965,66.065277
144.07756,1966,64.491859
139.69136,1967,62.861111
133.8279,1968,58.345695
130.87968,1969,56.367058
128.6369,1970,55.9132
123.05483,1971,55.964668
118.27543,1972,53.505554
116.92714,1973,56.287506
129.89178,1974,79.466309
130.97588,1975,84.454391
128.44438,1976,84.236641
125.54211,1977,87.578171
123.84236,1978,85.950302
130.36028,1979,101.4296
138.58087,1980,130.39201
139.88605,1981,143.90741
132.98164,1982,132.98164
129.41176,1983,122.75558
125.94197,1984,115.5789
119.14729,1985,105.01508
111.33347,1986,77.710762
112.91517,1987,77.257744
112.42139,1988,70.540977
114.48579,1989,74.78508
115.41441,1990,82.025963
112.06799,1991,78.110901
107.87594,1992,73.877556
106.02233,1993,71.27552
104.67968,1994,67.47374
108.18927,1995,67.241142
108.56799,1996,73.174652
101.21576,1997,68.243355
98.590752,1998,59.486248
96.895744,1999,61.660931
100,2000,76.780411
100.66765,2001,78.11573
90.462944,2002,63.679352
92.746361,2003,75.277237
91.887032,2004,79.000435
96.187088,2005,93.905495
99.479218,2006,98.241623
100.3107,2007,101.7429
106.75748,2008,119.13757
96.00309,2009,87.160698
101.57705,2010,100.92522
107.92886,2011,115.35564
106.90843,2012,112.19831
104.42297,2013,108.94969
99.703674,2014,102.48814
