eia_energy_share,year
.079999998,1970
.079999998,1971
.079000004,1972
.081,1973
.102,1974
.105,1975
.10600001,1976
.109,1977
.10399999,1978
.116,1979
.134,1980
.13699999,1981
.131,1982
.118,1983
.111,1984
.10399999,1985
.086000003,1986
.083999999,1987
.079999998,1988
.079999998,1989
.081,1990
.079000004,1991
.075000003,1992
.074000001,1993
.071000002,1994
.068999998,1995
.071000002,1996
.068000004,1997
.059999999,1998
.059,1999
.068999998,2000
.068000004,2001
.061999999,2002
.068000004,2003
.072999999,2004
.083000004,2005
.086999997,2006
.088,2007
.098000005,2008
.075000003,2009
,2010
,2011
,2012
,2013
,2014
