eia_mil_btu_pc,year
,1949
222.54184,1950
233.70175,1951
228.32837,1952
230.17999,1953
220.01189,1954
237.21356,1955
242.0016,1956
237.85373,1957
233.11646,1958
239.27469,1959
244.29385,1960
243.7489,1961
250.98955,1962
256.8064,1963
264.33737,1964
272.13837,1965
283.95126,1966
290.18799,1967
304.42487,1968
316.91812,1969
323.86649,1970
327.80237,1971
340.85696,1972
351.74783,1973
340.66211,1974
328.44278,1975
343.52664,1976
349.172,1977
354.64792,1978
355.22833,1979
339.67874,1980
327.99252,1981
312.04129,1982
308.52966,1983
320.91098,1984
316.82343,1985
314.7775,1986
321.46283,1987
332.9924,1988
337.98434,1989
333.4863,1990
330.0842,1991
332.13696,1992
334.98938,1993
338.13593,1994
341.80862,1995
349.01285,1996
346.97998,1997
344.29044,1998
346.04474,1999
349.8053,2000
336.80292,2001
338.50131,2002
336.16263,2003
340.38303,2004
337.55573,2005
332.12332,2006
334.21014,2007
324.29263,2008
305.95316,2009
314.06247,2010
309.50684,2011
300.80554,2012
307.28513,2013
308.78885,2014
