co_index,year,nox_index,so2_index,voc_index
100,1970,100,100,100
92.332954,1975,98.125137,89.832787,88.764824
90.867569,1980,100.73655,83.048241,89.751579
86.670883,1985,95.815041,74.658852,79.064598
75.566795,1990,94.95945,73.922096,69.557693
72.10672,1991,93.668625,71.67292,68.02562
69.051956,1992,93.96994,70.734833,66.551254
66.604912,1993,94.323341,69.745018,65.58181
65.456131,1994,94.301018,68.37722,65.120171
62.133286,1995,92.831635,59.641872,63.596756
63.152756,1996,92.208023,58.893162,60.2188
57.787193,1997,91.901482,60.349365,56.349529
56.547234,1998,90.572723,60.684246,54.189213
56.136127,1999,84.981567,56.20311,52.713413
56.099548,2000,84.0653,52.364014,50.527546
52.078659,2001,80.159622,51.033554,49.370335
50.00581,2002,89.125656,48.151917,58.540203
48.809898,2003,84.25927,47.433994,57.448196
47.611351,2004,79.351021,46.676414,56.302376
43.395912,2005,75.718933,46.594105,51.22192
42.068348,2006,71.523697,42.035221,51.651054
40.740784,2007,67.328461,37.476337,52.080185
39.038574,2008,62.902164,33.069569,51.2388
35.655663,2009,58.670132,29.115374,50.760834
36.154835,2010,55.22823,24.768431,51.458534
36.150188,2011,54.009796,20.753538,52.379719
35.169121,2012,50.803337,16.634853,51.394264
34.188057,2013,48.625507,16.331352,50.408817
33.206989,2014,46.170532,15.988214,49.423359
