bea_h,year
100,1950
100.20991,1951
99.581726,1952
99.952507,1953
96.773239,1954
97.649902,1955
100.30186,1956
98.549255,1957
96.518387,1958
97.98912,1959
97.553864,1960
98.015144,1961
98.178619,1962
100.07371,1963
102.91016,1964
105.62463,1965
107.35861,1966
107.7877,1967
108.57148,1968
111.00562,1969
112.50781,1970
113.25935,1971
117.31615,1972
120.60335,1973
123.06885,1974
123.11995,1975
127.29797,1976
129.16542,1977
131.67308,1978
134.95158,1979
135.91357,1980
136.558,1981
135.53514,1982
137.54706,1983
141.11121,1984
142.4278,1985
143.57887,1986
144.74255,1987
144.94911,1988
147.33345,1989
147.90866,1990
145.85777,1991
146.49797,1992
147.24924,1993
148.59659,1994
149.17996,1995
148.95193,1996
151.44124,1997
151.69991,1998
152.0123,1999
153.80206,2000
152.28198,2001
150.94159,2002
150.97171,2003
151.13539,2004
150.89481,2005
152.60399,2006
153.15208,2007
152.48134,2008
148.925,2009
148.02657,2010
147.67668,2011
148.66479,2012
147.61746,2013
146.71593,2014
147.24239,2015
147.40839,2016
,2017
,2018
