hgrowth,year
,1950
,1951
,1952
,1953
,1954
,1955
,1956
,1957
,1958
,1959
-.29519853,1960
,1961
-.40499771,1962
,1963
,1964
,1965
,1966
.40329984,1967
,1968
.60570103,1969
.87194782,1970
,1971
1.1782676,1972
,1973
1.2406486,1974
.99575257,1975
1.2258396,1976
1.3540419,1977
1.4964058,1978
1.5854849,1979
1.5298023,1980
1.5742724,1981
1.2066976,1982
1.1665571,1983
1.3017316,1984
1.4594965,1985
1.2115858,1986
1.2029747,1987
1.0660864,1988
1.007301,1989
1.0409377,1990
.8442601,1991
.98242575,1992
.85647392,1993
.67848736,1994
.6187526,1995
.51194447,1996
.57494307,1997
.57476586,1998
.42168808,1999
.48582864,2000
.52342224,2001
.31884775,2002
.25418952,2003
.16415186,2004
.073955476,2005
.18755074,2006
.034051307,2007
-.043045923,2008
-.35382742,2009
-.57020932,2010
-.48555526,2011
-.31408483,2012
-.36892143,2013
-.46008185,2014
-.38694388,2015
-.4473123,2016
,2017
,2018
