Glforce,gdppw2001
-1.4271277,1.6739123
-6.985858,1.6081047
4.9386988,1.3120767
3.1746142,2.0695746
10.877846,1.8776273
5.5895638,1.5552877
9.2650795,1.8093892
-4.3829823,1.4823707
9.2806292,1.5242453
23.612818,1.5504315
-.55366695,2.2288549
-10.715809,1.5107676
9.4134846,1.7402956
15.806973,1.4601275
3.9236398,1.5167606
17.260294,2.3523877
-1.2102453,2.056181
22.896698,1.1182204
8.6725626,1.7375858
42.439835,1.8695999
32.264282,1.6507431
9.7133856,2.1061184
1.1615168,1.5257993
-2.9041879,1.8278785
25.679714,2.1450317
-8.4278336,1.5584104
-6.6368303,1.2166016
-2.5285022,1.9074031
-8.7138786,1.6049755
18.153952,1.6028966
32.73576,1.8294194
13.555794,1.6343932
-11.321103,1.359038
.85509193,2.0478868
18.622063,1.5787178
12.935723,1.4085803
4.3121061,2.0653701
.98957646,1.4981995
5.7944293,1.5106832
24.507454,1.6746352
7.2705035,2.6621561
8.8522615,2.4346051
7.6520557,1.3980459
9.960391,1.7515287
6.6110587,3.7995543
25.434223,1.1769241
7.8461342,1.4794328
-3.1507761,1.7010696
11.480223,1.4489248
11.521739,1.7359585
19.549862,1.9046041
-3.6390402,1.5103793
45.557976,1.7064909
-.81795889,1.3626881
.33529335,1.3555202
-7.8721375,2.2742345
15.6266,2.0616276
5.4757233,1.8035641
14.402814,1.1855258
2.7646239,1.5676326
-10.014717,2.4401298
38.196449,1.8502995
28.678692,2.2231185
21.150215,1.8242424
3.0518034,1.7504544
22.198626,1.9310786
2.4941094,2.3730094
6.9400496,1.3845503
2.8975422,2.0898492
17.700619,1.6770421
7.7220001,1.4042
-6.746377,2.125737
21.063532,1.2825152
27.306055,1.2956709
13.841544,1.7959139
25.362835,1.6873345
19.763933,1.8514785
1.4749888,1.8817942
20.03685,2.1627331
12.291133,2.0826972
11.226205,1.9683002
8.4850378,1.3020959
15.464494,1.9381727
-3.7619255,1.3568248
22.792358,2.3696587
-4.0258236,2.6243074
-6.0049052,1.465458
26.250343,1.3589896
-2.4630244,1.7472868
-6.734859,1.9393153
-5.2206297,1.4399377
-6.3422132,2.2571902
18.858242,1.1876419
20.611774,2.4246764
21.007742,2.2583096
-11.326235,2.1733868
-3.1970284,1.4786576
18.427984,1.7687564
16.189226,1.6443332
.49755451,1.537423
16.803257,2.2828319
12.967658,1.4765283
8.4329777,1.3571154
42.082897,1.5422146
3.8186274,1.5427651
9.7328424,1.8953785
-10.401964,1.4461677
24.607805,1.8810053
8.6332502,1.5509391
-3.8249536,1.5796914
.88352847,1.3895447
.68351352,2.1192813
25.342873,1.683161
9.4544802,2.7946479
8.4401054,2.0381207
38.767509,1.6658772
14.893115,1.4199578
-15.193924,1.3860884
6.1440959,1.7312602
-3.1197486,1.1886832
1.8309158,1.3915479
20.399851,1.4652871
1.5252405,1.5295547
1.4542716,1.7461265
14.04802,1.4294868
-7.6148319,1.2147821
9.1868048,1.5279417
23.973238,1.7991915
7.7001352,1.0666616
-3.4317901,1.2803296
4.5362945,1.6466204
5.5078878,1.4448948
5.8196721,1.4233106
19.469643,1.4821078
7.5099792,1.8474487
4.6218886,1.1125854
1.6839243,1.4748054
50.933235,1.5973206
4.4504395,1.8902006
2.1767137,1.9874315
25.469645,1.6948854
10.284772,1.7489554
-4.068964,1.7126515
19.830984,1.4643586
17.830894,1.0772338
16.273138,1.5539876
7.5558133,2.1835487
12.952448,2.3106351
8.7010298,2.7348135
10.481421,1.4378434
-11.003184,1.481968
37.715706,3.0499732
31.63068,2.1111381
6.9110699,1.3781873
5.9558144,1.4416478
11.956023,1.7198343
33.896988,2.6721988
-7.7292905,1.4745263
14.437448,1.8475877
22.18681,1.6869404
12.48095,2.3773251
19.710732,1.7723861
8.0557346,1.6367373
-8.3054018,1.471825
1.8108046,1.7847384
2.3224928,1.690504
21.052982,1.8607786
17.831614,2.0948098
.48924738,1.3294617
-1.2891012,1.5876577
-2.9864016,1.2615724
-6.5036507,1.403705
14.61182,1.4200959
7.1359692,1.4627821
-3.282249,1.634742
5.8594575,1.3164783
13.782361,2.1100883
30.928011,1.7410262
24.932962,1.7949929
-2.849618,1.6084392
.28007394,1.1531299
5.7125864,1.6115282
-10.299939,1.8426664
5.6188993,1.5418804
14.386362,2.0344355
13.840299,1.6947161
13.057625,2.5596042
8.9123869,1.024889
17.822145,1.4056444
8.0043383,1.788607
-2.2533579,1.7289581
53.774075,1.8093981
21.361588,1.3324664
36.534832,2.0231452
11.467263,1.3630115
17.17985,1.8255584
6.3813972,1.2229841
3.6144168,1.4151715
-.96375483,1.357836
12.12853,2.0007374
-6.6790819,1.8871176
10.166037,1.7554934
11.821074,1.928507
20.261461,1.0403903
7.2873807,1.6960413
4.9716682,1.5445038
5.7001295,2.2830362
6.8311815,1.9845573
11.957036,1.3462113
9.4787998,1.5092022
.51895702,1.8758905
12.356924,1.1500024
11.812374,1.9969138
5.678308,1.7642093
27.03916,1.3453612
11.857521,1.4294491
-15.010614,1.4454539
51.305084,1.0784743
5.9226799,1.4468087
3.2481694,2.2781329
25.442535,1.1853507
17.978226,1.9995351
-10.024477,1.4725118
-2.3623891,2.0095944
2.6008465,2.1871903
7.2227211,2.2029841
11.519872,1.482069
-.36188114,1.7822419
13.366621,1.4758583
.59387678,1.5294156
-.72195625,1.2073108
3.3056891,1.8928043
18.411709,1.7874928
-5.1657071,1.3956418
11.624619,1.8620863
-8.4438391,1.4009153
-9.1490059,1.2894741
32.00391,1.8226739
6.2104831,2.3138745
30.412819,2.6855986
23.960909,2.0428762
5.4477506,1.8120068
8.5767813,2.0473752
-3.6706309,2.591948
9.0885248,2.8552408
-8.8629684,1.5955807
24.053675,1.6067121
.66604775,2.0816245
19.305891,1.2455423
-11.278851,1.6424525
38.620544,1.7134041
23.936794,1.427897
19.098154,1.8820425
17.584887,1.6422803
11.902884,2.0653894
33.685234,1.9793588
.24760883,1.7753507
-4.5336719,1.595533
7.7268977,1.8103089
8.7187099,1.3277798
20.078428,1.5634053
-11.126977,1.6546377
13.75174,1.5768193
.43177474,1.737617
6.3906317,2.3540721
25.32159,1.945709
-17.429934,1.5190567
.13667561,1.9870179
-7.1681242,1.7628855
11.251617,1.2486799
4.0788832,1.8736718
12.949387,1.7631222
34.32832,1.3183329
24.899166,1.2025951
2.5249827,1.6887838
44.787216,1.290305
12.293727,1.3580678
20.239557,1.2472736
.047284178,1.6163846
40.024048,2.1777115
7.4417768,1.5957186
8.2614126,1.6396871
-3.5036609,1.5258689
12.501162,2.1827652
18.913183,2.3712735
33.18536,1.409252
5.425611,1.8404086
8.62712,1.6625652
-2.8773415,1.9348511
1.6457084,1.7076437
-3.6573269,1.8808792
-5.3112621,1.6112415
13.346398,2.0628486
-10.634688,1.7082342
9.5789394,1.5221713
52.0811,1.3513608
7.2711678,1.4182175
4.1944251,2.0045147
5.8817592,1.415125
8.1827421,1.8470877
10.367275,1.5240732
19.941236,2.1619308
5.8265247,1.614341
32.068851,1.8134482
11.034225,2.3162127
9.5439663,2.8845446
8.5004826,3.0059998
13.670474,1.707832
-3.9697492,1.6194147
1.1747098,1.9016374
8.4512739,1.9331756
1.0475655,1.8242658
22.712515,1.765113
1.4295378,1.5845152
19.067373,2.7130296
16.105146,1.6690388
2.1725276,1
-4.6681061,1.7240096
8.1472874,1.133041
2.7040076,2.0810535
-.50305212,1.4154001
2.4246497,1.7667012
28.147629,1.8960204
-2.919909,1.5669792
6.0040493,1.6300018
8.1929359,1.5979992
-.3576844,1.7695909
.47251546,1.5728059
16.126785,1.5060508
-11.765919,1.2734785
10.349518,1.7172701
4.7635159,1.6287711
19.11721,1.5884709
2.1787145,1.5397278
-2.9418974,1.8130122
7.4099698,1.6323408
18.882401,1.7340395
-4.2855196,1.5149713
-.34689566,1.4487371
63.508953,1.1408123
-4.7201271,1.8629044
.92985278,1.6940964
9.329071,2.8002207
11.855233,1.6890302
7.5193024,1.7974033
15.65547,1.5545385
17.626316,1.9445429
-6.0125208,1.4095851
11.534358,1.450248
4.8772564,1.5006539
6.4413486,1.6060375
3.758507,1.6397532
12.660492,2.1090236
16.090662,1.2101636
6.987956,1.4163649
3.6710618,1.5293683
15.474398,1.6569028
20.104471,2.7249398
2.690598,1.5736864
3.8639808,2.2450588
1.4565842,1.599946
-10.399063,1.5056274
20.673021,1.3390274
-3.7960167,1.735972
3.4058597,1.8994788
-11.343785,1.5810322
1.2789636,1.4069444
26.76339,1.7334909
23.149834,1.6998401
3.3821502,1.8702539
8.6825686,1.5964161
11.906552,1.2755997
10.192086,1.4995542
-10.383791,1.5853137
15.331479,1.3820571
43.362911,1.4614654
