valVA_perc,Year
.36110577,1947
.37674221,1948
.35741293,1949
.37023127,1950
.36112127,1951
.35290331,1952
.35951763,1953
.35524887,1954
.36689752,1955
.36971867,1956
.36352205,1957
.3535735,1958
.36345947,1959
.35808125,1960
.35241973,1961
.35397592,1962
.35764205,1963
.35945791,1964
.36202967,1965
.35840717,1966
.34868166,1967
.3464514,1968
.3411741,1969
.33029452,1970
.32497376,1971
.32974792,1972
.33600584,1973
.3248305,1974
.30963513,1975
.31592524,1976
.32002619,1977
.31903449,1978
.31529784,1979
.30208507,1980
.29540154,1981
.28068525,1982
.28274956,1983
.29338643,1984
.29677236,1985
.29157266,1986
.29852748,1987
.29761159,1988
.29402196,1989
.29019046,1990
.28565055,1991
.28601068,1992
.28781414,1993
.29797024,1994
.29708087,1995
.29519048,1996
.29266453,1997
.28857404,1998
.289462,1999
.28569466,2000
.27241611,2001
.27162772,2002
.27051574,2003
.27638215,2004
.27369201,2005
.2734791,2006
.26963946,2007
.26357004,2008
.24986832,2009
.2442399,2010
,2011
