hours_weekly,year
38.6,1965
38.5,1966
37.8,1967
37.8,1968
37.5,1969
36.9,1970
36.8,1971
36.9,1972
36.9,1973
36.5,1974
35.9,1975
36.1,1976
36,1977
35.9,1978
35.6,1979
35,1980
35.2,1981
34.8,1982
34.9,1983
35.1,1984
34.9,1985
34.7,1986
34.7,1987
34.6,1988
34.4,1989
34.4,1990
34.1,1991
34.2,1992
34.3,1993
34.5,1994
34.3,1995
34.4,1996
34.3,1997
34.4,1998
34.4,1999
34.3,2000
34,2001
33.9,2002
33.7,2003
33.6,2004
33.7,2005
33.9,2006
33.9,2007
33.7,2008
33,2009
33.3,2010
33.6,2011
33.7,2012
33.7,2013
33.7,2014
33.7,2015
33.6,2016
33.7,2017
