valEMP,Year
,1947
,1948
,1949
15641.11106019373,1950
16868.2766891251,1951
17176.31826509157,1952
17589.79911079294,1953
16393.55985578625,1954
16934.01762377538,1955
17273.14754329117,1956
17178.3475369712,1957
15865.80724328329,1958
16582.18254877341,1959
16700.43822676019,1960
16258.68974370216,1961
16808.92070821913,1962
16927.1763862059,1963
17214.50836412418,1964
17980.72697190625,1965
19134.94148184327,1966
19361.67964128898,1967
19696.90028219363,1968
20107.3745363626,1969
19265.90231531622,1970
18432.24865149211,1971
18889.63424899467,1972
19942.20751504222,1973
19924.61576129213,1974
18234.83008162989,1975
18935.56827267547,1976
19656.83017642951,1977
20465.52981617401,1978
21046.66473102931,1979
20345.65998912878,1980
20317.01417238036,1981
19061.57314386018,1982
18749.52397045253,1983
19690.41811385781,1984
19460.68056936929,1985
19155.14063635443,1986
19239.68502321263,1987
19554.21252040089,1988
19636.31048745704,1989
19258.14737707903,1990
18565.29102809597,1991
18223.9092410229,1992
18237.04527454382,1993
18392.59015564338,1994
18617.60802262443,1995
18623.88397352467,1996
18799.98375934678,1997
19134.21342801753,1998
18867.87212220685,1999
18769.36369673747,2000
17941.32195056218,2001
16615.95832898071,2002
15823.67518960001,2003
15531.94002483615,2004
15433.47798804371,2005
15351.12067009282,2006
15056.99702710893,2007
14525.14841550333,2008
12897.92923262489,2009
12540.00405934363,2010
,2011
