valEMP,Year
31177.36840653889,1950
34128.06693308302,1951
35553.23601342646,1952
35752.19616749612,1953
35824.73889460348,1954
36589.60338472968,1955
37674.90193741919,1956
38375.9217157267,1957
38536.44078897998,1958
39292.22874829074,1959
40351.82412999114,1960
40971.96455972236,1961
41890.28476729104,1962
42632.84194463624,1963
43948.1084920967,1964
45379.63916767872,1965
47941.92987220357,1966
49751.65981515238,1967
51387.48462697554,1968
52998.54757250354,1969
53783.40888304156,1970
54397.90253741364,1971
55372.40481031757,1972
57307.7029265021,1973
58672.66825253789,1974
59463.01357084633,1975
60632.6339623798,1976
62484.76457543597,1977
65522.2720551135,1978
67763.91306476206,1979
69081.62451733989,1980
70200.27282165743,1981
70657.26665458473,1982
72355.82303861649,1983
75437.31207426768,1984
78063.68670454207,1985
80181.61651883789,1986
83059.18070983321,1987
85877.40606880668,1988
88438.22950558492,1989
90526.88967145444,1990
90550.33569642602,1991
91305.47616155213,1992
93418.8209419904,1993
95538.03183280486,1994
97840.09291547393,1995
99608.8782492647,1996
101667.7675159715,1997
104529.9266823333,1998
106889.9207428162,1999
109713.4505417034,2000
109486.5893346446,2001
109808.4877622189,2002
110675.9108736013,2003
112217.5606368872,2004
114138.0647647404,2005
116109.6944908882,2006
117748.0124150769,2007
117894.743990056,2008
114771.7156679339,2009
115014.4853323816,2010
