G10gdppc,year
1.7958751,1960
1.2737979,1961
1.4882505,1962
1.4770056,1963
2.1447649,1964
2.1358089,1965
2.6368356,1966
2.7735662,1967
3.4132059,1968
3.1119766,1969
2.9594498,1970
3.0711136,1971
3.0348098,1972
3.2117553,1973
2.626631,1974
1.9905658,1975
1.892966,1976
2.0866382,1977
2.1407633,1978
2.1326439,1979
2.0870826,1980
2.0391014,1981
1.3443534,1982
1.2469583,1983
2.0166297,1984
2.4634595,1985
2.2809644,1986
2.1779463,1987
2.0607207,1988
2.1272399,1989
2.3480306,1990
2.0468519,1991
2.5489659,1992
2.3278024,1993
1.9832344,1994
1.807068,1995
1.811332,1996
1.8773226,1997
1.8810773,1998
1.9665689,1999
2.1917741,2000
2.338562,2001
2.1996129,2002
2.2488253,2003
2.257771,2004
2.3661451,2005
2.2973559,2006
2.0669031,2007
1.6293913,2008
.92530382,2009
.79943883,2010
.88017732,2011
.95322961,2012
.87478244,2013
.75941843,2014
.71649581,2015
.61208957,2016
