G10gdppc,year
1.8480902,1960
1.4197192,1961
1.675234,1962
1.6404481,1963
2.3169765,1964
2.2802043,1965
2.7722371,1966
2.8890483,1967
3.5299261,1968
3.1966832,1969
2.9803605,1970
3.1381464,1971
3.135607,1972
3.3395329,1973
2.6110139,1974
1.9220006,1975
1.8809645,1976
2.0912569,1977
2.1772799,1978
2.1381273,1979
1.9716035,1980
1.9178011,1981
1.1697159,1982
1.102072,1983
2.080265,1984
2.5645194,1985
2.3024237,1986
2.1576881,1987
1.9963446,1988
2.0728333,1989
2.4054112,1990
2.0984297,1991
2.6699381,1992
2.4580984,1993
2.0885427,1994
1.920915,1995
1.9815751,1996
2.1366079,1997
2.2062325,1998
2.303225,1999
2.5322185,2000
2.6448607,2001
2.4588943,2002
2.4339614,2003
2.3978555,2004
2.4583077,2005
2.3374779,2006
2.0379517,2007
1.3979114,2008
.7168445,2009
.59498996,2010
.66005808,2011
.7462303,2012
.67529631,2013
.57093948,2014
