Dgdppc,year,Dgdppc_mean
,1949,.44631767
.72024715,1950,.44631767
.69457477,1951,.44631767
.27504021,1952,.44631767
.36091936,1953,.44631767
-.2883881,1954,.44631767
.64238906,1955,.44631767
.044007704,1956,.44631767
.036804162,1957,.44631767
-.30701125,1958,.44631767
.6479907,1959,.44631767
.068141624,1960,.44631767
.11990932,1961,.44631767
.60649258,1962,.44631767
.40234038,1963,.44631767
.62395871,1964,.44631767
.7803334,1965,.44631767
.85295552,1966,.44631767
.27249211,1967,.44631767
.65836632,1968,.44631767
.37284306,1969,.44631767
-.17365764,1970,.44631767
.35682449,1971,.44631767
.75380009,1972,.44631767
.88011271,1973,.44631767
-.28800797,1974,.44631767
-.22838387,1975,.44631767
.84473962,1976,.44631767
.72169548,1977,.44631767
.92472506,1978,.44631767
.44310167,1979,.44631767
-.31260744,1980,.44631767
.33369878,1981,.44631767
-.60994279,1982,.44631767
.78885227,1983,.44631767
1.4153963,1984,.44631767
.77530742,1985,.44631767
.62289542,1986,.44631767
.64179814,1987,.44631767
.83816689,1988,.44631767
.72180015,1989,.44631767
.20555016,1990,.44631767
-.3952305,1991,.44631767
.58820826,1992,.44631767
.39760232,1993,.44631767
.78481662,1994,.44631767
.42932266,1995,.44631767
.75772971,1996,.44631767
.96959364,1997,.44631767
1.0213765,1998,.44631767
1.1485085,1999,.44631767
1,2000,.44631767
-.00092833373,2001,.44631767
.26719484,2002,.44631767
.66384125,2003,.44631767
1.0120491,2004,.44631767
.9292593,2005,.44631767
.70135754,2006,.44631767
.34325209,2007,.44631767
-.40986073,2008,.44631767
-1.2853317,2009,.44631767
.62893921,2010,.44631767
.29829538,2011,.44631767
.56645715,2012,.44631767
.42924005,2013,.44631767
.65323567,2014,.44631767
.83144271,2015,.44631767
.33264098,2016,.44631767
