gdp_pc,year
28.524731,1949
30.492388,1950
32.389908,1951
33.141296,1952
34.127296,1953
33.339447,1954
35.094398,1955
35.214626,1956
35.31517,1957
34.47644,1958
36.2467,1959
36.432858,1960
36.760441,1961
38.417328,1962
39.516487,1963
41.221092,1964
43.352901,1965
45.683105,1966
46.427532,1967
48.226135,1968
49.244709,1969
48.77029,1970
49.745106,1971
51.804428,1972
54.208824,1973
53.422009,1974
52.798084,1975
55.105843,1976
57.077457,1977
59.603729,1978
60.814247,1979
59.960228,1980
60.871868,1981
59.205555,1982
61.360634,1983
65.227379,1984
67.345459,1985
69.047157,1986
70.800499,1987
73.090302,1988
75.062202,1989
75.623749,1990
74.544006,1991
76.150948,1992
77.23716,1993
79.381218,1994
80.554092,1995
82.624146,1996
85.272995,1997
88.063316,1998
91.200943,1999
93.932861,2000
93.930328,2001
94.660286,2002
96.473846,2003
99.238678,2004
101.77734,2005
103.69339,2006
104.63113,2007
103.51142,2008
100,2009
101.71821,2010
102.53313,2011
104.08064,2012
105.2533,2013
107.03788,2014
109.30931,2015
110.21806,2016
