altgdppc,year,gdp_pc
28.524731,1949,28.524731
30.492388,1950,30.492388
32.389908,1951,32.389908
33.141296,1952,33.141296
34.127296,1953,34.127296
33.339447,1954,33.339447
35.094398,1955,35.094398
35.214626,1956,35.214626
35.31517,1957,35.31517
34.47644,1958,34.47644
36.2467,1959,36.2467
36.432858,1960,36.432858
36.760441,1961,36.760441
38.417328,1962,38.417328
39.516487,1963,39.516487
41.221092,1964,41.221092
43.352901,1965,43.352901
45.683105,1966,45.683105
46.427532,1967,46.427532
48.226135,1968,48.226135
49.244709,1969,49.244709
48.77029,1970,48.77029
49.745106,1971,49.745106
51.804428,1972,51.804428
54.208824,1973,54.208824
53.422009,1974,53.422009
52.798084,1975,52.798084
55.105843,1976,55.105843
57.077457,1977,57.077457
59.603729,1978,59.603729
60.814247,1979,60.814247
59.960228,1980,59.960228
60.871868,1981,60.871868
59.205555,1982,59.205555
61.360634,1983,61.360634
65.227379,1984,65.227379
67.345459,1985,67.345459
69.047157,1986,69.047157
70.800499,1987,70.800499
73.090302,1988,73.090302
75.062202,1989,75.062202
75.623749,1990,75.623749
74.544006,1991,74.544006
76.150948,1992,76.150948
77.23716,1993,77.23716
79.381218,1994,79.381218
80.554092,1995,80.554092
82.624146,1996,82.624146
85.272995,1997,85.272995
88.063316,1998,88.063316
91.200943,1999,91.200943
93.932861,2000,93.932861
95.999382,2001,93.930328
98.111374,2002,94.660286
100.26982,2003,96.473846
102.47575,2004,99.238678
104.73022,2005,101.77734
107.03429,2006,103.69339
109.38905,2007,104.63113
111.7956,2008,103.51142
114.2551,2009,100
116.76871,2010,101.71821
119.33763,2011,102.53313
121.96306,2012,104.08064
124.64625,2013,105.2533
127.38846,2014,107.03788
130.19101,2015,109.30931
133.05521,2016,110.21806
