G10_equip,year,G10_struct_nonres,G10_struct_res,G10_ip
5.2135391,1950,.83561307,2.0148671,5.0620661
5.2593575,1951,1.0222921,2.2339575,4.3286405
5.8485842,1952,1.3161942,2.5765741,4.2473359
6.547863,1953,1.6942995,2.9790149,4.7849026
6.7971215,1954,2.0204337,3.4054554,5.1888137
6.6765723,1955,2.2889354,3.8938239,5.5099721
6.2860861,1956,2.3904867,3.994391,5.6336818
5.4532566,1957,2.5116777,3.9441969,5.7633414
4.5287495,1958,2.5418146,3.812696,5.9634781
4.1846719,1959,2.5930607,3.8442345,6.305336
3.8392756,1960,2.6490395,3.6534204,6.5058761
3.472235,1961,2.6700609,3.5884101,6.8908486
3.3633261,1962,2.7189627,3.5764725,6.8804512
3.267148,1963,2.7250023,3.608427,6.7059422
3.4506586,1964,2.7752969,3.6270912,6.5637426
3.6745999,1965,2.8750002,3.5477087,6.5156116
4.040925,1966,2.9392135,3.4754627,6.4323273
4.242156,1967,2.9891248,3.4268417,6.4488044
4.7243257,1968,3.0801506,3.4350073,6.5044498
5.1295099,1969,3.1800931,3.3410375,6.4911489
5.3301306,1970,3.2334175,3.2701828,6.3265839
5.5340328,1971,3.2658811,3.3102291,5.9783697
5.711216,1972,3.2841992,3.3865645,5.7520423
6.0252714,1973,3.3367047,3.3931875,5.4875269
6.1307788,1974,3.3115368,3.2523031,5.2547369
5.7666693,1975,3.1542053,3.0898178,4.8370967
5.309514,1976,2.9781456,3.0671365,4.4911776
5.1730614,1977,2.8456802,3.1511199,4.218142
5.1749911,1978,2.7843468,3.2022088,4.0232363
5.1617985,1979,2.7605715,3.2107148,4.0116868
5.0969892,1980,2.7753434,3.1403086,4.1389751
5.074131,1981,2.848942,2.9285462,4.4783812
4.751678,1982,2.8849242,2.5872128,4.7404227
4.2488313,1983,2.809067,2.3977983,5.019094
4.0304084,1984,2.8390946,2.3966913,5.4668503
4.0669188,1985,2.9744494,2.4516125,5.977716
4.0017381,1986,3.0302713,2.4817963,6.276031
3.7326987,1987,3.0631588,2.4220757,6.4359097
3.380821,1988,3.0207086,2.3310184,6.5465846
3.0250509,1989,2.9172137,2.247061,6.6115546
2.7919142,1990,2.8096623,2.2433131,6.7102122
2.5028558,1991,2.5926712,2.2337,6.6681399
2.452184,1992,2.3688321,2.3212423,6.6014085
2.5307577,1993,2.2450228,2.3295777,6.441051
2.5275178,1994,2.0377233,2.3033454,6.0973182
2.6222708,1995,1.8320893,2.2717721,5.800776
2.8225379,1996,1.7414581,2.2182393,5.6734667
3.1339684,1997,1.6842642,2.1701646,5.757585
3.4664335,1998,1.6593341,2.169554,5.872581
3.8301046,1999,1.6351281,2.2173731,5.9666929
4.2700758,2000,1.6259109,2.2946444,6.0495267
4.5615454,2001,1.6653692,2.4062281,5.9523883
4.6615753,2002,1.6690656,2.5068767,5.7513275
4.6241612,2003,1.6411551,2.5925388,5.615036
4.541698,2004,1.6146221,2.6787157,5.546566
4.4563522,2005,1.5425627,2.756022,5.4913907
4.4128437,2006,1.4858286,2.7907941,5.3282933
4.28722,2007,1.4585273,2.7199657,5.0673637
3.9117076,2008,1.4308534,2.5132871,4.7544155
3.1334183,2009,1.3193268,2.2376878,4.2525973
2.5486016,2010,1.1157792,1.9706681,3.7746875
2.3562853,2011,.95220625,1.7216246,3.5621583
2.4232259,2012,.90044767,1.4728048,3.5188482
2.5022984,2013,.88377178,1.2418714,3.4877257
2.5597746,2014,.91794497,1.0000595,3.4614315
2.5426328,2015,.94426775,.81031132,3.3753567
2.3614552,2016,.90822035,.64852232,3.3335838
