kgrowth,year
,1950
,1951
,1952
,1953
,1954
,1955
,1956
,1957
,1958
,1959
1.8956538,1960
1.8642229,1961
1.862439,1962
1.8594989,1963
1.9371628,1964
2.0249889,1965
2.1491122,1966
2.2649136,1967
2.4187407,1968
2.5049546,1969
2.563772,1970
2.5661223,1971
2.5831757,1972
2.6074224,1973
2.5374002,1974
2.3504274,1975
2.17658,1976
2.0805275,1977
2.0215931,1978
1.9776804,1979
1.938693,1980
1.9195036,1981
1.786538,1982
1.6537925,1983
1.6644132,1984
1.7704034,1985
1.8292265,1986
1.8285246,1987
1.7701714,1988
1.6925853,1989
1.6517032,1990
1.5321158,1991
1.4726744,1992
1.4112684,1993
1.2889141,1994
1.1757889,1995
1.1116883,1996
1.0737128,1997
1.0803984,1998
1.1223736,1999
1.210187,2000
1.3316116,2001
1.4236399,2002
1.4957137,2003
1.5619498,2004
1.59462,2005
1.6080871,2006
1.5750499,2007
1.4572222,2008
1.2353354,2009
1.0143281,2010
.85971832,2011
.75472796,2012
.65725428,2013
.55780792,2014
.475999,2015
.3745186,2016
