cap,ylow,year,gdp_pc
100,100,1950,100
,100,1951,106.22294
103.37785,100,1952,108.68712
,100,1953,111.92072
,100,1954,109.33694
,100,1955,115.09233
,100,1956,115.48661
106.72404,100,1957,115.81635
,100,1958,113.06573
108.22439,100,1959,118.87131
107.32327,100,1960,119.48181
,100,1961,120.55612
109.58382,100,1962,125.9899
,100,1963,129.5946
113.65066,100,1964,135.18486
116.31859,100,1965,142.17615
118.54646,100,1966,149.81807
119.45506,100,1967,152.25941
120.88182,100,1968,158.15794
123.29295,100,1969,161.49838
124.77076,100,1970,159.94252
125.53966,100,1971,163.13943
129.39418,100,1972,169.89299
132.58496,100,1973,177.77823
134.88495,100,1974,175.19786
135.02905,100,1975,173.15169
138.78003,100,1976,180.72
140.8615,100,1977,187.18593
143.4994,100,1978,195.47086
147.10953,100,1979,199.44075
148.40916,100,1980,196.64
149.63805,100,1981,199.62971
149.93781,100,1982,194.16504
152.68221,100,1983,201.23264
156.73512,100,1984,213.91365
159.15813,100,1985,220.85991
161.43318,100,1986,226.44064
163.99266,100,1987,232.19073
165.63705,100,1988,239.70016
169.01009,100,1989,246.16702
170.5504,100,1990,248.00861
169.42447,100,1991,244.46761
171.2337,100,1992,249.73756
172.79482,100,1993,253.29982
175.0106,100,1994,260.33127
176.76291,100,1995,264.1777
177.90738,100,1996,270.96649
181.14886,100,1997,279.65341
183.03926,100,1998,288.80426
185.19214,100,1999,299.09415
188.33946,100,2000,308.0535
188.52887,100,2001,308.04517
188.3967,100,2002,310.43909
189.65866,100,2003,316.38666
191.2049,100,2004,325.45395
191.83925,100,2005,333.77951
194.36391,100,2006,340.0632
195.72446,100,2007,343.13852
195.96889,100,2008,339.46643
192.51245,100,2009,327.95071
191.53725,100,2010,333.5856
191.59274,100,2011,336.25812
192.5506,100,2012,341.33322
192.25833,100,2013,345.17892
191.75612,100,2014,351.03149
192.67667,100,2015,358.48068
193.7507,100,2016,361.46091
