cbr,year,tfr
29.200001,1909,
29.200001,1910,
29.1,1911,
29,1912,
28.799999,1913,
29.299999,1914,
28.9,1915,
28.5,1916,
27.9,1917,
27.6,1918,
25.299999,1919,
26.9,1920,
27.299999,1921,
25.4,1922,
25.200001,1923,
25.1,1924,
24.1,1925,
23.1,1926,
22.700001,1927,
21.5,1928,
20.5,1929,
20.6,1930,
19.5,1931,
18.700001,1932,
17.6,1933,
18.1,1934,
17.9,1935,
17.6,1936,
17.9,1937,
18.4,1938,
18,1939,
18.6,1940,
19.5,1941,
21.5,1942,
22.1,1943,
20.5,1944,
19.700001,1945,
23.6,1946,
26.1,1947,
24,1948,
23.6,1949,
23,1950,3.052
23.9,1951,3.1300001
24.1,1952,3.2720001
24,1953,3.3889999
24.200001,1954,3.4790001
23.799999,1955,3.5439999
24,1956,3.582
24,1957,3.595
23.299999,1958,3.5829999
22.9,1959,3.5450001
22.700001,1960,3.483
22.200001,1961,3.3989999
21.4,1962,3.2939999
20.700001,1963,3.1730001
20,1964,3.0409999
18.299999,1965,2.902
17.4,1966,2.7620001
16.799999,1967,2.6229999
16.6,1968,2.49
16.9,1969,2.3659999
17.4,1970,2.253
16.200001,1971,2.1530001
14.6,1972,2.063
13.9,1973,1.984
14,1974,1.915
13.6,1975,1.858
13.8,1976,1.814
14.1,1977,1.783
14,1978,1.7640001
14.5,1979,1.757
14.9,1980,1.7589999
14.8,1981,1.7690001
14.9,1982,1.786
14.6,1983,1.806
14.8,1984,1.829
15,1985,1.853
14.8,1986,1.878
14.9,1987,1.904
15,1988,1.932
15.4,1989,1.9579999
15.8,1990,1.983
15.4,1991,2.0020001
15,1992,2.0150001
14.7,1993,2.0209999
15.2,1994,2.0220001
14.8,1995,2.0190001
14.7,1996,2.013
14.5,1997,2.0090001
14.6,1998,2.0079999
14.5,1999,2.0109999
14.4,2000,2.017
14.1,2001,2.027
14,2002,2.039
14.1,2003,2.05
14,2004,2.0580001
14,2005,2.062
14.285505,2006,2.0569999
14.312072,2007,2.0439999
13.95547,2008,2.023
,2009,1.995
,2010,1.9630001
,2011,1.932
,2012,1.905
,2013,1.8839999
,2014,1.872
,2015,1.868
