share_VA,year
.2301362,1970
.22370493,1971
.22404236,1972
.22232699,1973
.21596013,1974
.2102083,1975
.21611078,1976
.22076854,1977
.21819815,1978
.21761259,1979
.20629711,1980
.20448042,1981
.19361801,1982
.19376127,1983
.19464685,1984
.18729898,1985
.1835406,1986
.18307266,1987
.18572454,1988
.18236336,1989
.17595211,1990
.17164712,1991
.16867657,1992
.16619818,1993
.16607012,1994
.16726159,1995
.16353734,1996
.1635132,1997
.15996708,1998
.15664794,1999
.1532177,2000
.14113009,2001
.13606519,2002
.13496654,2003
.1338805,2004
.13210791,2005
.13214876,2006
.1300161,2007
.12528025,2008
.12155847,2009
.12403917,2010
.12466009,2011
.12448134,2012
.12356899,2013
.12231141,2014
.12196163,2015
