VA_QI_index,year
100,1970
105.48375,1971
115.60204,1972
124.88393,1973
116.83095,1974
108.88489,1975
120.01619,1976
128.06564,1977
135.57896,1978
137.69038,1979
127.86607,1980
131.16237,1981
124.52618,1982
137.68864,1983
149.48997,1984
153.88867,1985
158.22961,1986
167.9507,1987
178.47665,1988
179.06635,1989
178.0038,1990
175.86966,1991
182.68936,1992
189.25188,1993
200.47653,1994
208.22366,1995
216.89523,1996
233.04402,1997
243.98778,1998
257.13882,1999
273.04886,2000
261.99316,2001
264.60806,2002
277.95258,2003
295.90588,2004
302.51709,2005
317.58215,2006
327.76587,2007
318.345,2008
293.95663,2009
309.77222,2010
310.41983,2011
311.37213,2012
317.50519,2013
320.60077,2014
325.52448,2015
