VA_P_index,year
100,1970
100,1971
100.34583,1972
102.66349,1973
115.5522,1974
131.59807,1975
136.46419,1976
145.0313,1977
152.99562,1978
167.79213,1979
186.26604,1980
201.92467,1981
209.61214,1982
206.20828,1983
211.77405,1984
212.83923,1985
213.96516,1986
213.26196,1987
219.33366,1988
231.18217,1989
237.03798,1990
241.66341,1991
242.06648,1992
242.28474,1993
242.98579,1994
247.17749,1995
245.20338,1996
242.60266,1997
239.22815,1998
236.25966,1999
231.67265,2000
229.51862,2001
226.36865,2002
224.03804,2003
222.54961,2004
229.1152,2005
231.06001,2006
230.09859,2007
231.77052,2008
238.90668,2009
240.3468,2010
249.89825,2011
259.10449,2012
260.70062,2013
266.33432,2014
271.15802,2015
