price101,year,price60,price82,price5,price30,price8
100,1980,100,100,100,100,100
112.39507,1981,112.21297,108.73602,105.93495,103.30107,107.39097
127.53127,1982,124.84187,114.44286,110.07687,104.8147,112.92503
140.80008,1983,136.26202,119.30187,112.90041,106.24892,115.5565
155.21674,1984,146.46043,124.31918,116.18484,106.80062,116.95689
169.35071,1985,155.34181,129.29355,120.08023,109.09295,118.23944
183.02209,1986,164.57845,134.57648,125.28175,108.64304,119.48537
196.83057,1987,175.16679,139.65282,128.98267,111.77309,121.37316
211.79546,1988,188.82245,145.39455,131.04674,115.36935,123.10307
228.55919,1989,205.42413,151.95729,134.00961,117.05805,123.47032
247.01903,1990,222.95296,158.93321,136.88829,120.87316,124.7197
272.09183,1991,240.18282,165.06667,142.2276,123.17363,125.43134
301.35345,1992,257.0661,168.41245,145.89943,124.09076,126.91639
329.62994,1993,270.80408,171.47649,150.13934,123.42709,127.59027
352.71542,1994,281.80832,174.25343,155.63177,121.35056,129.56042
373.90784,1995,292.08905,178.07948,159.5042,118.51569,129.35793
395.15164,1996,298.96457,182.46089,162.61714,117.08859,129.72519
415.23898,1997,304.9519,187.52113,163.69969,117.12524,129.53297
432.7908,1998,310.70099,192.14938,162.87286,114.99374,129.42429
449.90576,1999,317.52014,196.92253,162.77638,113.47095,127.74129
468.52835,2000,326.46216,201.8996,162.57886,112.1202,126.818
492.36768,2001,337.41443,208.11891,161.69382,109.89811,124.64418
525.96368,2002,346.08353,213.81772,159.05249,107.01234,122.06879
570.06171,2003,359.2323,218.53719,156.771,104.36172,118.63187
624.02777,2004,372.51538,225.1402,155.72672,104.00037,117.16856
670.78979,2005,384.36011,232.14296,156.50763,103.0812,117.19144
715.71869,2006,396.02289,239.58841,155.50468,102.67812,116.58963
760.51056,2007,410.66632,248.41029,153.85712,101.72535,115.64116
807.94073,2008,421.76584,259.28738,151.53427,100.90491,114.85744
856.60443,2009,433.23801,268.30511,153.12061,101.7905,114.41124
901.0965,2010,444.14261,271.90039,156.29326,101.12581,109.56135
945.57996,2011,452.30048,278.58926,160.34177,102.89899,107.82344
991.12561,2012,460.55365,286.79938,163.03516,106.42299,107.53169
1032.9451,2013,467.20822,293.0965,164.93231,107.31976,105.32927
1071.2096,2014,472.60632,300.07242,165.97507,107.47346,101.63722
1108.3176,2015,475.38339,308.27991,167.31181,106.11964,99.27578
1138.1617,2016,480.94186,316.22443,167.82477,105.8102,96.694656
