share_pce_services,year,share_pce_durables,share_pce_nondurables
.39165503,1950,.16894566,.4393993
.40122589,1951,.15234305,.44643107
.41279864,1952,.14245395,.44474739
.42066255,1953,.1487325,.43060496
.43338287,1954,.14070064,.42591649
.42932695,1955,.15775026,.41292277
.43880749,1956,.14815511,.41303369
.44252452,1957,.14679563,.41067636
.45343465,1958,.1337253,.41284007
.45572162,1959,.14154448,.40273389
.46550214,1960,.13776496,.3967329
.47636577,1961,.12945604,.39417821
.47878817,1962,.13643372,.38477811
.48131716,1963,.14194511,.37673774
.48310897,1964,.14503497,.37185606
.48151466,1965,.14987369,.36861163
.47987264,1966,.14949398,.37063336
.48885402,1967,.14600985,.36513612
.48888394,1968,.15233491,.35878116
.49526289,1969,.14989588,.35483956
.50706482,1970,.13914436,.35379234
.51121885,1971,.1463646,.34241652
.51335865,1972,.15158959,.33505175
.5095948,1973,.15363799,.33676603
.51455933,1974,.13995104,.34548965
.5232299,1975,.13795102,.33882007
.5239861,1976,.14692776,.32908529
.5287317,1977,.15068035,.32058793
.53343993,1978,.15000717,.31655291
.53454733,1979,.14276344,.32268927
.54314953,1980,.129317,.32753345
.55047053,1981,.12613453,.32339495
.56582385,1982,.12216356,.31201261
.57320219,1983,.12930854,.29748926
.57321233,1984,.13728304,.28950503
.58065599,1985,.14020967,.27913433
.58575475,1986,.14601469,.26823059
.591618,1987,.14368723,.26469478
.59840715,1988,.14265804,.2589348
.60192859,1989,.13820617,.25986522
.60847902,1990,.13050139,.26101959
.62027299,1991,.12100651,.25872073
.62757689,1992,.12104201,.25138086
.63109773,1993,.12388454,.2450175
.63004303,1994,.12861162,.24134515
.63415617,1995,.12810609,.23773776
.63435298,1996,.12895083,.23669621
.63760501,1997,.12923191,.23316325
.64125401,1998,.13259488,.22615108
.63576484,1999,.13625695,.22797821
.63721979,2000,.13495305,.22782715
.64255255,2001,.13325273,.22419475
.64606887,2002,.13419722,.21973389
.64747399,2003,.13178644,.22073974
.64664066,2004,.13157415,.22178522
.64754987,2005,.1290265,.22342364
.65015817,2006,.12508529,.22475642
.65311337,2007,.12239751,.22448911
.66287994,2008,.11013679,.22698326
.67689949,2009,.10283474,.2202657
.67427075,2010,.10298242,.22274676
.669384,2011,.10276175,.22785425
.66950119,2012,.10395569,.22654313
.67041594,2013,.10509773,.22448634
.6734184,2014,.1050705,.22151107
.68118495,2015,.10627214,.21254289
.6869781,2016,.10547626,.20754574
