TOTAL_net_inv_rate,NFNB_net_inv_rate,NFCB_net_inv_rate,year
,,.34198028,1950
,,.43151662,1951
,,.29608798,1952
,,.30348864,1953
,,.18477458,1954
,,.33160862,1955
,,.41124955,1956
,,.3365213,1957
,,.13336901,1958
.16582277,.057368465,.29275152,1959
.17967154,.084560014,.29631639,1960
.16725735,.095953211,.255777,1961
.20782854,.12836641,.29625469,1962
.21308869,.14546637,.28214043,1963
.22403935,.13480134,.31036022,1964
.27824393,.16504568,.37931034,1965
.32022211,.13976276,.47811013,1966
.28120717,.12378611,.42451099,1967
.28331527,.14404728,.4079358,1968
.31008381,.15856786,.4551509,1969
.26864558,.13545553,.41541415,1970
.27836511,.1891571,.37069803,1971
.29739588,.19492719,.40252468,1972
.34011972,.19713609,.49751759,1973
.32460877,.11067775,.57422936,1974
.13288179,.072746597,.19693507,1975
.21909603,.073958285,.36078411,1976
.26586542,.12767087,.39286384,1977
.31745687,.15003812,.47402439,1978
.35254994,.18894331,.51908571,1979
.27649394,.096819125,.46600056,1980
.3501696,.18109258,.50855726,1981
.20047177,.097434431,.30261278,1982
.17842668,.027622772,.31798324,1983
.32608509,.13240401,.50280309,1984
.26594067,.13930357,.38869441,1985
.21413657,.11076429,.32628918,1986
.1924365,.09492252,.29271644,1987
.1670132,.073408827,.26191607,1988
.1871504,.085363001,.29660699,1989
.16287218,.04682377,.29194787,1990
.10431977,.0033363169,.21825147,1991
.12028419,.0086046765,.25763965,1992
.14905629,.013102189,.30796504,1993
.19751494,.052296828,.34722576,1994
.21005695,.035548203,.38118884,1995
.21086091,.060856633,.35702223,1996
.25674027,.066768438,.43819255,1997
.25840127,.066883773,.4619593,1998
.27199546,.074963383,.49188694,1999
.29532829,.078932591,.56743556,2000
.18092759,.052657224,.37655023,2001
.1283946,.054224115,.234304,2002
.12146196,.055713709,.20740457,2003
.14587291,.071233526,.23362149,2004
.16392298,.072887994,.25967118,2005
.18270712,.068165869,.29925668,2006
.18239,.070155136,.29951033,2007
.15011768,.048896343,.26247895,2008
-.021166012,-.012513408,-.031257112,2009
.065761074,-.0049379882,.14001918,2010
.089849845,.002117018,.18692066,2011
.12728438,.012101171,.25307894,2012
.14324984,.03701001,.25958458,2013
.15710275,.037937406,.29069361,2014
.16794945,.041534536,.30708006,2015
.11962409,.03518213,.21541779,2016
