estabs_entry,year,estabs_exit,Destabs_check
697.749,1977,-526.01,171.739
626.813,1978,-548.965,77.848
641.788,1979,-471.892,169.896
580.305,1980,-524.356,55.949001
577.646,1981,-609.342,-31.695999
679.97,1982,-505.221,174.74899
570.715,1983,-514.341,56.374001
662.923,1984,-503.719,159.20399
673.58,1985,-530.696,142.884
711.75,1986,-559.0890000000001,152.661
783.242,1987,-606.129,177.11301
701.09,1988,-612.37,88.720001
678.553,1989,-623.2859999999999,55.266998
704.029,1990,-542.9640000000001,161.065
692.857,1991,-583.351,109.506
693.398,1992,-612.746,80.652
645.468,1993,-574.534,70.933998
687.528,1994,-572.395,115.133
712.004,1995,-575.075,136.929
711.716,1996,-603.55,108.166
773.896,1997,-662.683,111.213
726.0839999999999,1998,-643.803,82.280998
715.449,1999,-643.18,72.268997
706.296,2000,-662.673,43.623001
721.735,2001,-686.426,35.308998
805.318,2002,-751.6559999999999,53.661999
769.314,2003,-597.943,171.371
760.0890000000001,2004,-613.466,146.623
801.25,2005,-608.21,193.03999
823.391,2006,-661.413,161.978
812.01,2007,-690.066,121.944
713.967,2008,-667.027,46.939999
610.079,2009,-723.4589999999999,-113.38
610.256,2010,-639.7910000000001,-29.535
632.158,2011,-613.721,18.437
674.0069999999999,2012,-604.078,69.929001
632.1319999999999,2013,-584.912,47.220001
669.917,2014,-576.942,92.974998
