job_creation,year,job_destruction,net_job_creation
13.919514,1977,-9.711152999999999,4.208361
14.062357,1978,-10.388216,3.674141
14.443176,1979,-10.071179,4.371997
12.718175,1980,-11.788305,.92987
12.783982,1981,-12.908861,-.124879
13.640132,1982,-12.580229,1.059903
12.154727,1983,-13.644043,-1.489316
14.882807,1984,-10.23255,4.650257
14.58596,1985,-11.908842,2.677118
15.485316,1986,-12.81617,2.669146
15.926621,1987,-14.461116,1.465505
16.548,1988,-13.689215,2.858785
16.575843,1989,-13.707285,2.868558
15.644934,1990,-13.374798,2.270136
14.609733,1991,-15.71205,-1.102317
15.486476,1992,-15.013887,.472589
15.308902,1993,-13.694416,1.614486
15.314223,1994,-13.46447,1.849753
16.226707,1995,-12.569662,3.657045
16.0425,1996,-14.275756,1.766744
18.516885,1997,-15.793613,2.723272
18.026978,1998,-14.851267,3.175711
18.10699,1999,-15.666174,2.440816
19.279279,2000,-15.720265,3.559014
18.289205,2001,-17.411176,.8780289999999999
19.011086,2002,-20.752315,-1.741229
18.139676,2003,-16.050567,2.089109
17.635174,2004,-15.418269,2.216905
17.697506,2005,-15.572352,2.125154
19.028732,2006,-14.898077,4.130655
19.334538,2007,-17.860625,1.473913
17.333328,2008,-16.356357,.976971
13.405008,2009,-19.058982,-5.653974
13.646833,2010,-15.528084,-1.881251
14.845428,2011,-13.054239,1.791189
16.353565,2012,-13.444343,2.909222
15.648787,2013,-12.874244,2.774543
15.999987,2014,-13.301513,2.698474
