movers,year,move_rate
28.015,1950,19.1
31.464,1951,21.200001
30.478,1952,20.299999
31.526,1953,20.6
30.025,1954,19.299999
32.419,1955,20.4
34.04,1956,21.1
32.723,1957,19.9
34.103,1958,20.299999
33.64,1959,19.700001
34.685,1960,19.9
36.533,1961,20.6
35.218,1962,19.6
36.432,1963,20
37.187,1964,20.1
38.846,1965,20.700001
37.586,1966,19.799999
36.523,1967,19
37.886,1968,19.5
37.332,1969,19
38.095,1970,19.1
37.705,1971,18.700001
,1972,
,1973,
,1974,
,1975,
36.793,1976,17.700001
,1977,
,1978,
,1979,
,1980,
38.2,1981,17.200001
38.127,1982,17
37.408,1983,16.6
39.379,1984,17.299999
46.47,1985,20.200001
43.237,1986,18.6
43.693,1987,18.6
42.174,1988,17.799999
42.62,1989,17.799999
43.381,1990,17.9
41.539,1991,17
42.8,1992,17.299999
43.099,1993,17
42.835,1994,16.700001
42.317,1995,16.4
42.537,1996,16.299999
43.391,1997,16.5
42.507,1998,16
42.636,1999,15.9
43.388,2000,16.1
39.885,2001,14.5
41.111,2002,14.8
40.093,2003,14.2
38.995,2004,13.7
39.888,2005,13.9
39.837,2006,13.7
38.681,2007,13.2
35.167,2008,11.9
37.105,2009,12.5
37.54,2010,12.5
35.075,2011,11.6
36.488,2012,12
35.918,2013,11.7
35.681,2014,11.5
36.324,2015,11.6
35.138,2016,11.2
