rgsppw2016,rank2016,rgsppw2007,rank2007,rgsppw1997,rank1997
1.7101674,2,1.8046128,2,2.1592233,1
1.1027063,43,1.1111397,39,1.1506506,41
1.0771542,44,1.0118806,48,1.1301161,43
1.1157944,41,1.240428,23,1.2621379,35
1.6137042,5,1.550428,8,1.5283556,13
1.3546735,18,1.3067898,17,1.4344578,16
1.575346,6,1.849749,1,1.8547382,3
1.6923757,3,1.8044069,3,1.9674039,2
1.1119304,42,1.2066351,25,1.3125328,27
1.2716824,23,1.252308,21,1.4294503,17
1.4450467,12,1.4502867,10,1.5718573,11
1.2708253,24,1.1853009,31,1.1915014,40
1.0017756,49,1.0256885,45,1,50
1.4025174,14,1.4000089,15,1.5674969,12
1.2087314,33,1.2035815,26,1.2725024,33
1.2278013,30,1.1798393,32,1.2803564,32
1.1415924,38,1.097561,40,1.2982602,29
1.2858511,21,1.4052329,13,1.595033,7
1.6387193,4,1.5781536,6,1.5931882,9
1.4057721,13,1.3825209,16,1.3936253,22
1.0078013,48,1.0142624,47,1.1137449,44
1.1857405,36,1.1456519,35,1.3959597,21
1.3135954,20,1.2726194,18,1.3555007,23
1.1162879,40,1.134447,38,1.3215718,26
1,50,1,50,1.0990734,45
1.0564262,47,1.0227307,46,1.0536416,47
1.2327228,27,1.2683001,20,1.3496563,24
1.5524553,7,1.0925229,42,1.0461255,48
1.3660716,15,1.202513,27,1.2853799,31
1.230521,28,1.1963073,30,1.3012916,28
1.4778618,11,1.5599276,7,1.7012203,5
1.2288229,29,1.2004067,28,1.4011369,18
1.2071854,34,1.4428737,11,1.6351367,6
1.7466528,1,1.6665746,5,1.8250829,4
1.2728775,22,1.176666,33,1.3994411,19
1.2559559,25,1.1548401,34,1.2225189,38
1.3569351,17,1.2501791,22,1.1505969,42
1.3361213,19,1.2716798,19,1.3963785,20
1.2047263,35,1.1979574,29,1.3274174,25
1.0688325,45,1.0879894,43,1.2223659,39
1.2219149,31,1.0939865,41,1.040785,49
1.2438486,26,1.1404525,37,1.2961166,30
1.4851919,10,1.4137585,12,1.4755545,15
1.2171392,32,1.2102444,24,1.2672573,34
1.3578664,16,1.4021685,14,1.5223007,14
1.064967,46,1.0025496,49,1.0693861,46
1.5486208,8,1.4688624,9,1.5753834,10
1.1771908,37,1.1424047,36,1.2284808,37
1.1189181,39,1.0614178,44,1.2320145,36
1.5101548,9,1.7040712,4,1.5934422,8
