Glforce,gdppw2001
-1.4271277,1.633262
-6.985858,1.5690526
3.1746142,2.019316
10.877846,1.8320299
5.5895638,1.5175183
9.2650795,1.7654489
-4.3829823,1.4463719
9.2806292,1.4872296
9.4134846,1.6980333
15.806973,1.4246689
17.260294,2.2952609
-1.2102453,2.0062473
22.896698,1.0910649
8.6725626,1.6953893
42.439835,1.8241975
32.264282,1.6106555
9.7133856,2.0549724
25.679714,2.0929406
-8.4278336,1.520565
-6.6368303,1.1870569
-2.5285022,1.8610827
13.555794,1.5947027
-11.321103,1.3260343
.85509193,1.9981548
18.622063,1.5403793
5.7944293,1.4739969
24.507454,1.6339674
8.8522615,2.3754818
9.960391,1.7089937
25.434223,1.1483431
-3.1507761,1.6597599
11.480223,1.4137383
-3.6390402,1.4737004
45.557976,1.6650494
15.6266,2.0115619
5.4757233,1.7597653
2.7646239,1.5295633
-10.014717,2.3808722
38.196449,1.8053658
28.678692,2.169131
21.150215,1.7799414
3.0518034,1.7079453
2.4941094,2.3153818
6.9400496,1.3509271
2.8975422,2.039098
27.306055,1.2642061
13.841544,1.752301
25.362835,1.6463583
19.763933,1.8065161
1.4749888,1.8360956
12.291133,2.0321195
11.226205,1.9205009
8.4850378,1.270475
22.792358,2.3121126
26.250343,1.3259871
-2.4630244,1.7048547
-5.2206297,1.4049695
-6.3422132,2.2023754
20.611774,2.3657942
21.007742,2.2034676
-11.326235,2.1206069
18.427984,1.7258029
16.189226,1.6044014
.49755451,1.5000873
16.803257,2.2273941
9.7328424,1.84935
-10.401964,1.4110482
24.607805,1.8353258
8.6332502,1.5132751
-3.8249536,1.5413293
.88352847,1.3558002
.68351352,2.0678155
25.342873,1.6422862
8.4401054,1.9886258
38.767509,1.6254221
14.893115,1.3854747
-15.193924,1.3524278
6.1440959,1.6892172
20.399851,1.4297032
1.5252405,1.4924102
14.04802,1.3947723
-7.6148319,1.1852816
9.1868048,1.4908363
-3.4317901,1.2492373
4.5362945,1.6066329
19.469643,1.4461154
1.6839243,1.4389904
50.933235,1.5585303
4.4504395,1.8442979
25.469645,1.6537259
-4.068964,1.6710604
19.830984,1.4287972
7.5558133,2.1305223
-11.003184,1.4459791
33.896988,2.6073055
-7.7292905,1.4387181
14.437448,1.8027198
12.48095,2.3195927
19.710732,1.7293444
1.8108046,1.7413968
2.3224928,1.6494508
21.052982,1.8155904
.48924738,1.2971764
-2.9864016,1.2309356
-6.5036507,1.3696166
7.1359692,1.4272591
5.8594575,1.2845081
13.782361,2.0588458
30.928011,1.6987461
24.932962,1.7514023
5.7125864,1.5723929
-10.299939,1.797918
5.6188993,1.5044364
13.057625,2.4974451
8.9123869,1
17.822145,1.3715088
8.0043383,1.7451714
-2.2533579,1.6869712
11.467263,1.3299114
12.12853,1.9521503
-6.6790819,1.8412899
10.166037,1.7128619
11.821074,1.8816741
7.2873807,1.6548537
6.8311815,1.9363631
11.957036,1.3135191
9.4787998,1.4725518
.51895702,1.8303353
11.812374,1.9484196
51.305084,1.052284
5.9226799,1.4116735
3.2481694,2.2228096
25.442535,1.1565648
17.978226,1.9509772
2.6008465,2.1340752
7.2227211,2.1494856
13.366621,1.4400178
.59387678,1.4922744
3.3056891,1.8468384
32.00391,1.778411
6.2104831,2.257683
30.412819,2.6203799
23.960909,1.9932657
-3.6706309,2.5290036
9.0885248,2.7859025
-8.8629684,1.5568328
23.936794,1.3932211
19.098154,1.8363379
17.584887,1.6023982
11.902884,2.0152323
33.685234,1.931291
7.7268977,1.7663463
8.7187099,1.2955352
-11.126977,1.6144556
13.75174,1.5385269
.43177474,1.6954197
6.3906317,2.2969046
25.32159,1.8984582
-17.429934,1.4821671
.13667561,1.938764
11.251617,1.2183563
12.949387,1.7203054
34.32832,1.2863177
44.787216,1.2589705
.047284178,1.5771314
7.4417768,1.5569673
8.2614126,1.5998679
-3.5036609,1.4888138
12.501162,2.1297576
18.913183,2.3136883
33.18536,1.375029
5.425611,1.795715
1.6457084,1.6661743
-3.6573269,1.8352028
13.346398,2.0127532
9.5789394,1.485206
7.2711678,1.3837768
4.1944251,1.9558358
5.8817592,1.3807592
8.1827421,1.802232
32.068851,1.7694093
11.034225,2.2599642
9.5439663,2.8144946
8.5004826,2.9330006
13.670474,1.666358
-3.9697492,1.5800879
1.0475655,1.7799643
22.712515,1.722248
19.067373,2.647145
8.1472874,1.1055256
2.4246497,1.7237977
28.147629,1.8499764
-2.919909,1.5289258
8.1929359,1.5591924
16.126785,1.4694771
-11.765919,1.2425526
10.349518,1.6755669
19.11721,1.5498955
2.1787145,1.5023361
18.882401,1.6919291
-4.2855196,1.4781808
-.34689566,1.4135551
-4.7201271,1.8176646
.92985278,1.652956
9.329071,2.7322185
11.855233,1.6480128
7.5193024,1.7537541
17.626316,1.8973205
-6.0125208,1.3753539
3.758507,1.5999324
12.660492,2.0578067
16.090662,1.1807753
20.104471,2.6587658
2.690598,1.5354701
1.4565842,1.561092
-10.399063,1.4690639
-3.7960167,1.6938146
3.4058597,1.8533508
-11.343785,1.5426375
26.76339,1.6913939
10.192086,1.4631381
-10.383791,1.546815
15.331479,1.3484944
43.362911,1.4259744
