rgsppw2016,alec_rank,state
1.7101674,29,AK
1.1027063,21,AL
1.0771542,11,AR
1.1157944,9,AZ
1.6137042,38,CA
1.3546735,8,CO
1.575346,44,CT
1.6923757,34,DE
1.1119304,13,FL
1.2716824,10,GA
1.4450467,46,HI
1.2708253,22,IA
1.0017756,6,ID
1.4025174,48,IL
1.2087314,24,IN
1.2278013,26,KS
1.1415924,39,KY
1.2858511,19,LA
1.6387193,25,MA
1.4057721,20,MD
1.0078013,47,ME
1.1857405,17,MI
1.3135954,41,MN
1.1162879,7,MO
1,15,MS
1.0564262,36,MT
1.2327228,23,NC
1.5524553,5,ND
1.3660716,31,NE
1.230521,28,NH
1.4778618,42,NJ
1.2288229,35,NM
1.2071854,18,NV
1.7466528,50,NY
1.2728775,37,OH
1.2559559,14,OK
1.3569351,45,OR
1.3361213,40,PA
1.2047263,43,RI
1.0688325,27,SC
1.2219149,2,SD
1.2438486,12,TN
1.4851919,16,TX
1.2171392,1,UT
1.3578664,3,VA
1.064967,49,VT
1.5486208,33,WA
1.1771908,32,WI
1.1189181,30,WV
1.5101548,4,WY
