wrluri,gdppw2016,label
.067560114,2.038866,
-.49810675,1.4377266,
-.091784284,2.1989279,
.37347099,1.9657068,
-1.6766891,1.756447,
.022797074,1.8899217,
.37206283,1.6628525,
-.39869419,1.9551708,
-.15223685,1.7934823,
-.61086994,1.5219462,
.034924999,2.3519342,
.68825674,1.9314066,
-1.1937114,1.3453737,
-1.091925,1.6732316,
-.28339711,2.4459805,
.39534289,1.8298901,
1.589254,2.3932896,
-.81308198,2.2430434,
.083074465,1.7525138,
-.011556491,1.1889462,
-.63728422,2.5705669,
-.1934254,2.2560291,
-.80459076,1.6645801,
-.23494875,2.2379882,
-.3023023,2.1236851,
.0076467847,1.7549583,
-.46268469,1.8152145,
.57227755,1.7107393,
-.95578474,1.1907315,
-.23118621,1.9844421,
-.3738738,1.2795169,
-.80701536,1.6118733,
-.14938621,1.5781691,
-.81959343,2.7603939,
-.68610734,2.3833399,
-.39136863,1.9010085,
-1.1493769,2.5380378,
-.8060621,1.9639183,
-.53021061,2.3699434,
-.97996008,2.0930972,
-.72058916,1.8519003,
-.001320519,2.4930918,
.94018835,1.4394782,
-.54619354,2.3126361,
.38432527,1.4775683,
.86787033,1.8580866,
-1.5323458,1.7028745,
-.7645787,1.8900447,
-.8269074,2.0647833,
.25988513,2.3516648,
-.24546725,2.1275036,
.065979198,1.9907191,
-.22867998,2.7609839,
-.99856728,1.4731017,
-.91260684,1.8892395,
-.80467761,1.4650567,
-.99899614,2.2686934,
.83639133,2.5886409,
-.84009665,2.7542953,
.054462809,2.3380783,
.31534323,1.7563666,
-.95881861,1.8928399,
-.3669557,1.6863724,
.63762254,2.8693924,
-.83255041,2.7643209,
-.76975363,1.7268876,
.72777063,1.5619248,
-.46963257,2.2651141,
-.62629509,1.5789142,
.34311852,1.6259687,
-1.0457487,1.992524,
-1.2707556,2.1464095,
-.50833601,2.2319124,
-.40400937,1.9595854,
-.418257,1.4700695,
-.31537631,1.447585,
-.42798591,1.6300231,
.57406479,1.6355317,
-1.0431358,1.6163275,
.90788496,1.6980914,
-.50981665,1.2700077,
.071768157,1.7049644,
-1.6048446,1.5377239,
-.42365012,1.5485395,
.46126384,1.3745357,
-.0099915396,1.7490857,
-.061755531,1.4663311,
.57362556,2.0439184,
1.3913455,1.7187577,
-.99127066,1.8839839,
.33264944,1.3874167,
.5364548,2.2867885,
-.57666487,1.5095834,
-.19310874,2.9051073,
-1.2046235,1.905229,
-1.2436147,2.2382045,
-.74486059,2.4473429,
-.83003175,1.9264138,
-.72970307,2.0485139,
-1.1300251,1.8289744,
-.022161968,1.8390216,
-.27588543,1.4370147,
-.86635631,1.4364703,
.4373934,1.3029772,
-1.3846338,1.6034579,
.0011251341,1.3833684,
-.79256713,2.1885729,
.7886852,1.8205835,
-1.0092105,1.9475609,
-.37212443,1.8420962,
-.95596826,2.3799868,
.41301635,1.745905,
